"V1"
"Spot Image"
"ORBCOMM Inc."
"Radarsat International"
"Smolensk Satellite (SmolSat)"
"Spire Global Inc."
"Orbimage"
"Globalstar"
"GeoEye"
"Space Imaging EOSAT"
"DigitalGlobe"
"Aprize Satellite Argentina"
"Institute for Unmanned Space Experiment Free Flyer (USEF)"
"Riyadh Space Research Institute"
"Beijing Landview Mapping Information Technology Co. Ltd (BLMIT)"
"Gonets Satcom"
"Bigelow Aerospace"
"Boeing Satellite Systems"
"Maxar Technologies Inc."
"MDA Corporation"
"RapidEye AG"
"Sorun Corporation"
"Aerospace Corporation"
"Aprize Satellite"
"Aprize Satellite/Latin Trade Satellite"
"exactEarth"
"German Aerospace Center (DLR)"
"Surrey Satellite Technology Ltd. (SSTL)"
"Cosmogia Inc."
"Planet Labs, Inc."
"NanoSatisfi Inc."
"Skybox Imaging"
"Planet"
"Weathernews, Inc."
"ISIS - Innovative Solutions In Space B.V."
"GomSpace ApS"
"StaKoDo UG"
"National Institute of Information and Communications Technology (NICT)"
"Satellogic S.A."
"SPUTNIX Ltd."
"Microspace Rapid Pte Ltd."
"Dauria Aerospace"
"Xinwei Telecom Technology Company"
"Twenty First Century Aerospace Technology Company (21AT)"
"Changchun Institute of Optics"
"Chang Guang Satellite Technology Co. Ltd."
"SRI International"
"AgilSpace"
"Satellogic"
"GHGSat, Inc."
"BlackSky Global"
"Siwei Star Co. Ltd."
"Beijing Space View Technology"
"Open Space Network"
"SpacePharma"
"Millennium Space Systems"
"Canon Electronics"
"Sky and Space Global, UK"
"GeoOptics Inc."
"D-Orbit"
"Tyvak Nanosatellite Systems, Inc."
"Astro Digital"
"HEAD Aerospace"
"Telesat Canada Ltd. (BCE, Inc.)"
"ICEYE Oy"
"Earthi/Surrey Satellite Technology Ltd."
"Astranis"
"Planetary Resources"
"Swarm Technologies"
"Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute"
"Kepler Communications"
"SpaceX"
"Zhuhai Orbita Aerospace Science and Technology Co."
"Zhuhai Orbita Control Engineering Co. Ltd."
"Surrey Space Center"
"Analytical Space"
"Beijing Future Navigation Technology Co. Ltd."
"Fleet Space Technologies"
"Space OK (Shanghai Ok Space Co Ltd.)"
"Harris Corporation"
"Hiber Global"
"Helios Wire"
"HawkEye 360"
"AISTech"
"Ghalam LLP"
"OHB Italia"
"Capella Space"
"SpaceQuest, Ltd."
"Astrocast"
"China Aerospace Science and Industry Corporation (CASIC)"
"iSky Technology"
"German Orbital Systems"
"Axelspace"
"Beijing ZeroG Technology Co. Ltd."
"Spacety Aerospace Co."
"OneWeb Satellites"
"NanoAvionics"
"General Atomics - Electromagnetic Systems Group"
"Orbital Micro Systems Ltd."
"NSLComm"
"Momentus"
"SatRevolution"
"UnseenLabs"
"Tiger Innovations"
"Shanghai Lizheng Satellite Application Technology"
"Spacety Aerospace Co./ThrustMe"
"Ningxia Jingui Information Technology Co. Ltd."
"Innovation Academy for Microsatellites, Chinese Academy of Sciences/unnamed German firm"
"Astro Live Experiences"
"Stara Space"
"Fossa Systems"
"ATL (Advanced Technology of Laser)"
"Elbit Systems"
"iQPS"
"Guodian Gaoke"
"GalaxySpace"
