V1
1Worldspace
Aalborg University
Aerospace Corporation
AgilSpace
Air Force
Air Force Research Laboratory
Air Force Research Laboratory (AFRL)
Air Force Research Laboratory (ARFL)
Air Force Satellite Control Network
Air Force Space and Missile Systems Center
Air Force Space Command
Al Yah Satellite Communications Co. (YAHSAT)
Al Yah Satellite Communications Company (YAHSAT)
Al-Farabi Kazakh National University
Alascom Inc. (AT&T) shared with GE Americom
Algerian Space Agency
Algerian Space Agency (ASAL)
Algerian Space Agency (ASAL)/UK Space Agency
Alibaba
"Ames Research Center, NASA"
AMSAT Argentina
Amsat-NA
AMSAT-NA
AMSAT-NA/University of Iowa/Penn State Erie/Virginia Tech
AMSAT-UK
Analytical Space
Anna University
Applied Physics Laboratory/NASA
Aprize Satellite
Aprize Satellite Argentina
Aprize Satellite/Latin Trade Satellite
Aprize Satellites Argentina
AprizeSat
APT Satellite Holdings Ltd.
Arab Satellite Communications Org. (ASCO)
Arabsat
"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche"
Armed Forces
ArSat
Asia Broadcast Satellite
Asia Broadcast Satellite Ltd.
Asia Broadcasting Satellite
Asia Cellular Satellite
Asia Satellite Telecommunications Co. Ltd.
Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites])
Asia Satellite Telecommunications Co. Ltd. (SES [Société Européenne des Satellites (SES)])
Asia Satellite Telecommunications Co. Ltd. (SES Global)
Astranis
Astro Digital
Astro Space Center of Moscow/Russian Academy of Sciences
Astronautic Technology Sdn Bhd
Astronautic Technology Sdn. Bhd (ATSB)
Astronomical Institute of Czech Academy of Sciences
Astrotech SOHLA
"Avanti Communications, PLC"
Azercosmos
Bangladesh Telecommunication Regulatory Commission (BTRC)
Bank Rakyat Indonesia (BRI)
Beijing Aerospace Flight Control Center
Beijing Future Navigation Technology Co. Ltd.
Beijing Landview Mapping Information Technology Co. Ltd (BLMIT)
Beijing Space View Technology
Belintersat
Ben Gurion University
Bigelow Aerospace
Bilten Satellite Technologies Group
Binariang Satellite Systems
BlackSky Global
Boeing Satellite Systems
Bolivarian Agency for Space Activities
Bolivia Aerospace Bureau
BRITE Consortium
BRITE-PL Consortium
Broadcasting Satellite System Corp.
Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation
Brown University
Budapest University of Technology and Economics
Bulsatcom
Cabinet Satellite Intelligence Center (CSIC)
Cablevision Systems Corporation (CSC)
California Institute of Technology/NASA
California Polytechnic State University
California Polytechnic State University/NASA JPL
California State University at Northridge/NASA JPL
Canadian Space Agency
Canon Electronics
Cape Peninsula University of Technology
Caton Universal Technology Ltd.
Ceil Satellite Group
"Center for Atmospheric Sciences, Hampton University/NASA"
"Center for Space Research, MIT/University of California/University of Chicago/France/Italy/Spain"
Centre Electronique de l'Armement (DGA)
Centre for Research in Satellite Technology (CREST)
Centre National d'Etudes Spatiales (CNES)
Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI)
Centre National d'Etudes Spatiales (CNES)/DÃ©lÃ©gation GÃ©nÃ©rale de l'Armement (DGA)
Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA)
Centre National d'Etudes Spatiales (CNES)/European Space Agency
Centre National d'Etudes Spatiales (CNES)/European Space Agency (ESA)
Centre National d'Etudes Spatiales (CNES)/Israel Space Agency
Centre National d'Etudes Spatiales (CNES)/NASA
Centre National des Techniques Spatiales (CNTS)
Chang Guang Satellite Technology Co. Ltd.
Changchun Institute of Optics
Chilean Air Force
China Academy of Space Technology (CAST)
China Aerospace Science and Technology Corp.
China Aerospace Science and Technology Corp. (CASC)
China Aerospace Science and Technology Corporation
China Aerospace Science and Technology Corporation (CASC)
China Aerospace Science and Technology Corporation (CASTC)
China Amateur Satellite - CAMSAT
China Centre for Resources Satellite Data and Application (CRESDA)
China Direct Broadcast Satellite co.
China Earthquake Administration/Italian Institute for Nuclear Physics
China Meteorological Administration
China National Academy of Sciences (CNSAS)
China National Space Administration (China)/National Institute for Space Research (Brazil)
China National Space Administration (CNSA)/National Centre for Space Studies (CNES)
China Satellite Communication Corp. (China Satcom)
China Telecom
"China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture"
"Chinaâ€™s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture"
Chinasat
Chinese Academy of Launch Vehicle Technology (CASIC)
Chinese Academy of Science
Chinese Academy of Sciences
Chinese Academy of Sciences (CAS)/China Academy of Space Technology
Chinese Academy of Space Technology
Chinese Academy of Space Technology (CAST)
