"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Deimos 2 ,NR,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,597,619,1.58E-03,97.99,96.85,310,,450,06/19/14,10 yrs.,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2014-033D,40013,Part of international Disaster Monitoring Constellation.,
Delfi-C3 (DO-64),NR,Netherlands,"Technical University, Delft",Civil,Technology Development,,LEO,Sun-Synchronous,0,598,616,1.29E-03,97.8,96.8,7,,,04/28/08,,Technical University of Delft,Netherlands,Satish Dhawan Space Centre,PSLV C9,2008-021G,32789,Flight test thin film solar cells and an advanced transceiver.,
DHFR (DARPA High Frequency Receiver),NR (10/17),USA,DARPA (Defense Advanced Research Projects Agency),Military,Technology Development,,LEO,Equatorial,0,309,605,2.17E-02,24.5,93.7,8,,,08/26/17,,DARPA/University of Utah,USA,Cape Canaveral,Minotaur 4,2017-050D,42924,Hosts a high frequency receiver.,
Diamond Blue (3 Diamonds 1),NR (10/17),United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,96.4,6,,,06/23/17,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036X,42786,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.,
Diamond Green (3 Diamonds 2),NR (10/17),United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,96.4,6,,,06/23/17,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036W,42785,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.,
Diamond Red (3 Diamonds 3),NR (10/17),United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,96.4,6,,,06/23/17,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036U,42783,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.,
Dido-2,NR (9/17),Switzerland,SpacePharma,Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,508,8.73E-04,97.5,94.6,10,,,02/15/17,,Innovative Solutions in Space BV,Netherlands,Satish Dhawan Space Centre,PSLV XL,2017-008BE,42000,"To test a miniaturized end-to-end pharmaceutical laboratory in space, allowing microgravity conditions.",
DirecTV-10,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-102.74,35785,35788,3.56E-05,0.04,1436.1,5900,3700,18000,07/07/07,15 yrs.,Boeing Space and Intelligence Systems,USA,Baikonur Cosmodrome,Proton M,2007-032A,31862,32 broad-beam Ka band; 55 spot-beam Ka-band transponders; will provide HDTV to CONUS.,
DirecTV-11,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-99.21,35786,35786,0.00E+00,0.03,1436.1,5900,,,03/19/08,,Boeing Satellite Development Center,USA,Sea Launch Odyssey,Zenit 3SL,2008-013A,32729,High definition channels for North America.,
DirecTV-12,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-102.8,35785,35786,1.19E-05,0.09,1436.04,5900,,"8,700 (BOL)",12/29/09,15 yrs.,Boeing Space Systems,USA,Baikonur Cosmodrome,Breeze M,2009-075A,36131,High-definition for North America.,
DirecTV-14,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-99,35930,35933,3.55E-05,0.02,1443.51,5900,,20000,12/06/14,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-078B,40333,20-kilowatt Ka- and reverse-band digital broadcast satellite (DBS) that will ultimately bring 4K UHD content to DirecTV’s US customers.,
DirecTV-15,NR,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-103,35685,35809,1.47E-03,0.1,1434.07,5500,2364,,05/27/15,15 yrs.,Airbus Defense and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2015-026A,40663,"Expand national capacity for both HD and 4K Ultra HD channels, as well as provide critical backup for existing CONUS transponders. ",
DirecTV-1R ,USA,Russia,Russian Satellite Communications Co.,Commercial,Communications,,GEO,,55.9,35778,35795,2.02E-04,0.03,1436.1,3420,2304,"8,700 (BOL)",10/10/99,15 yrs.,Hughes Electronics Corp.,USA,Sea Launch Odyssey,Zenit 3SL,1999-056A,25937,"First commercial launch by Sea Launch consortium (American, Russian, Ukrainian companies). Sold to RSCC in 2012 to shore up Bonum-1.",
DirecTV-4S ,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-101.15,35780,35792,1.42E-04,0.05,1436.09,4300,2100,"8,100 (EOL)",11/27/01,15 yrs.,Hughes Electronics Corp.,USA,Guiana Space Center,Ariane 44LP,2001-052A,26985,Direct broadcasting; 48 Ku-band; 300 local TV channels to 41 metropolitan communities through 11 C-band transponders.,
DirecTV-5 (Tempo 1),USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-110.05,35773,35799,3.08E-04,0.07,1436.08,4300,3640,,05/07/02,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-023A,27426,Digital television to North American subscribers; 32 Ku-band; direct broadcasting.,
DirecTV-7S ,USA,USA,"DirecTV, Inc. ",Commercial,Communications,,GEO,,-119.04,35774,35797,2.73E-04,0.01,1436.1,5483,3500,13000,05/04/04,15 yrs.,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2004-016A,28238,Direct-to-home TV; 54 transponders.,
DirecTV-8,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-100.81,35777,35796,2.25E-04,0.02,1436.1,3800,,8200,05/22/05,12 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,2005-019A,28659,36 Ku- and Ka-band transponders.,
DirecTV-9S,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-101.08,35774,35798,2.85E-04,0.03,1436.1,5500,2364,13900,10/13/06,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2006-043A,29494,"52 Ku-band and 2 Ka-band transponders; direct-to-home, voice, video and internet.",
DLR Tubsat ,NR,Germany,Deutsches Zentrum für Luft- und Raumfahrt,Government,Earth Science,,LEO,Sun-Synchronous,0,712,732,1.41E-03,98.6,99.2,45,,120,05/26/99,1 yr.,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV C2,1999-029B,25757,Transmits image of its own view; not currently used for scientific mission but operational.,
DMC 3-1 (Disaster Monitoring Constellation),United Kingdom,United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,663,1.92E-03,98,97.71,447,,,07/10/15,10 yrs.,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032A,40715,"Being used commercially, but can provide data for disaster monitoring.",
DMC 3-2 (Disaster Monitoring Constellation),United Kingdom,United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,663,1.92E-03,98,97.71,447,,,07/10/15,10 yrs.,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032B,40716,Second generation.,
DMC 3-3 (Disaster Monitoring Constellation),United Kingdom,United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,661,1.78E-03,98,97.69,447,,,07/10/15,10 yrs.,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032C,40717,Second generation.,
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,9.00E-04,98.9,101.9,1134,823,900,04/04/97,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1997-012A,24753,Near-polar orbits; investigate Earth's environment.,
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,837,851,9.70E-04,98.9,101.8,1152,823,900,12/12/99,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1999-067A,25991,Near-polar orbits; investigate Earth's environment. Problem with SSM/1 sensor to track sea ice.,
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,843,852,6.23E-04,98.9,101.87,1154,825,900,10/18/03,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,2003-048A,28054,Near-polar orbits; investigate Earth's environment.,
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,9.00E-04,98.79,101.89,1154,825,900,11/04/06,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 4,2006-050A,29522,Near-polar orbits; investigate Earth's environment.,
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,859,1.18E-03,98.93,101.94,1155,825,900,10/18/09,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Atlas 5,2009-057A,35951,Near-polar orbits; investigate Earth's environment.,
Dove 1c-1  (0 Flock 1C-1 0903),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,605,621,1.15E-03,97.99,96.96,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033T,40027,,
Dove 1c-10  (0 Flock 1C-10 090C),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,604,621,1.22E-03,97.99,96.95,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033P,40023,,
Dove 1c-11 (0 Flock 1C-11 090D),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,622,1.15E-03,97.99,96.98,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033Z,40033,,
Dove 1c-2  (0 Flock 1C-2 0904),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,605,623,1.29E-03,97.99,96.98,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033V,40029,,
Dove 1c-3  (0 Flock 1C-3 0905),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,608,624,1.15E-03,97.99,97.02,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AH,40041,,
Dove 1c-4  (0 Flock 1C-4 0906),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,622,1.07E-03,97.99,96.98,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033X,40031,,
Dove 1c-5  (0 Flock 1C-5 0907),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,625,1.36E-03,97.99,97.01,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AE,40038,,
Dove 1c-6  (0 Flock 1C-6 0908),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,622,1.07E-03,97.99,96.99,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AC,40036,,
Dove 1c-7  (0 Flock 1C-7 0909),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,620,1.00E-03,97.99,96.96,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033S,40026,,
Dove 1c-8  (0 Flock 1C-8 090A),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,625,1.29E-03,97.99,97.02,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AG,40040,,
Dove 1c-9  (0 Flock 1C-9 090B),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,623,1.15E-03,97.99,96.99,4,,,06/19/14,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AB,40035,,
Dove 2e-1 (0 Flock 2E-1 0C37),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,407,2.21E-04,51.6,92.6,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JD,41483,,
Dove 2e-10 (0 Flock 2E-10 0C82),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,402,2.95E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JW,41572,,
Dove 2e-11 (0 Flock 2E-11 0C13),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,403,4.43E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JY,41574,,
Dove 2e-12 (0 Flock 2E-12 0C79),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,406,8.12E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JX,41573,,
Dove 2e-2 (0 Flock 2E-2 0C78),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,403,406,2.21E-04,51.6,92.6,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JE,41484,,
Dove 2e-3 (0 Flock 2E-3 0C60),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,408,2.95E-04,51.6,92.5,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JG,41486,,
Dove 2e-4 (0 Flock 2E-4 0C41),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,402,407,3.69E-04,51.6,92.5,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JH,41487,,
Dove 2e-5 (0 Flock 2E-5 0C43),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,403,2.95E-04,51.6,92.5,4,,,05/30/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JN,41564,,
Dove 2e-6 (0 Flock 2E-6 0C75),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,402,1.48E-04,51.6,92.5,4,,,05/30/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JM,41563,,
Dove 2e-7 (0 Flock 2E-7 0C24),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,05/31/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JP,41565,,
Dove 2e-8 (0 Flock 2E-8 0C2B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,404,5.17E-04,51.6,92.5,4,,,05/31/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JQ,41566,,
Dove 2e-9 (0 Flock 2E-9 0C14),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JV,41571,,
Dove 2ep-1 (0 Flock 2EP-1 0D05),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HZ,41479,,
Dove 2ep-10 (0 Flock 2EP-10 0C65),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,06/03/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KA,41576,,
Dove 2ep-11 (0 Flock 2EP-11 0C27),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,403,4.43E-04,51.6,92.5,4,,,06/03/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KB,41577,,
Dove 2ep-12 (0 Flock 2EP-12 0C81),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,06/03/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KC,41578,,
Dove 2ep-13 (0 Flock 2EP-13 0C45),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,4,,,09/15/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KH,41761,,
Dove 2ep-14 (0 Flock 2EP-14 0C56),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,4,,,09/15/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KJ,41762,,
Dove 2ep-15 (0 Flock 2EP-15 0C54),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,408,6.64E-04,51.6,92.6,4,,,09/15/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KL,41764,,
Dove 2ep-16 (0 Flock 2EP-16 0C0B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,8.12E-04,51.6,92.6,4,,,09/15/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KK,41763,,
Dove 2ep-17 (0 Flock 2EP-17 0C12),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,09/15/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KN,41776,,
Dove 2ep-18 (0 Flock 2EP-18 0C44),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,09/16/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KM,41769,,
Dove 2ep-19 (0 Flock 2EP-19 0C62),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,09/15/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KQ,41782,,
Dove 2ep-2 (0 Flock 2EP-2 0C1B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,401,7.38E-05,51.6,92.5,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JB,41481,,
Dove 2ep-20 (0 Flock 2EP-20 0C38),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,8.12E-04,51.6,92.6,4,,,09/17/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KP,41777,,
Dove 2ep-3 (0 Flock 2EP-3 0D06),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,402,2.95E-04,51.6,92.5,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JA,41480,,
Dove 2ep-4 (0 Flock 2EP-4 0C22),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,05/17/16,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JC,41482,,
Dove 2ep-5 (0 Flock 2EP-5 0C59),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JR,41567,,
Dove 2ep-6 (0 Flock 2EP-6 0C46),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JS,41568,,
Dove 2ep-7 (0 Flock 2EP-7 0C42),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JT,41569,,
Dove 2ep-8 (0 Flock 2EP-8 0C76),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,403,5.17E-04,51.6,92.5,4,,,06/01/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JU,41570,,
Dove 2ep-9 (0 Flock 2EP-9 0C19),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,406,8.12E-04,51.6,92.5,4,,,06/03/16,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JZ,41575,,
Dove 2k-1 (0 Flock 2K-1 0F1A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,476,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AD,42852,,
Dove 2k-10 (0 Flock 2K-10 0F32),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BY,42895,,
Dove 2k-11 (0 Flock 2K-11 0F33),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BX,42894,,
Dove 2k-12 (0 Flock 2K-12 0F36),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BW,42893,,
Dove 2k-13 (0 Flock 2K-13 0F37),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BU,42891,,
Dove 2k-14 (0 Flock 2K-14 0F3B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BV,42892,,
Dove 2k-15 (0 Flock 2K-15 0F3C),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BT,42890,,
Dove 2k-16 (0 Flock 2K-16 0F3D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BS,42889,,
Dove 2k-17 (0 Flock 2K-17 0F40),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BR,42888,,
Dove 2k-18 (0 Flock 2K-18 0F44),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,1.02E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BQ,42887,,
Dove 2k-19 (0 Flock 2K-19 0F46),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BP,42886,,
Dove 2k-2 (0 Flock 2K-2 0F1E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,476,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AE,42853,,
Dove 2k-20 (0 Flock 2K-20 0F47),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BN,42885,,
Dove 2k-21 (0 Flock 2K-21 0F49),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AM,42860,,
Dove 2k-22  (0 Flock  2K-22 0F4A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AN,42861,,
