"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
"AMC-6 (Americom-6, GE-6)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-71.98,"35,778","35,795",2.02E-04,0.05,1436.12,"3,901","2,500",,10/22/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton-K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-6.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,
"AMC-7 (Americom-7, GE-7)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-136.94,"35,773","35,798",2.97E-04,0.01,1436.08,"1,935",912,"6,500 (EOL)",9/14/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-7.html,http://www.planet4589.org/space/jsr/back/news.435,,,,
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-139.00,"35,773","35,798",2.97E-04,0.03,1436.07,"2,015",919,"3,300",12/19/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-8.html,,,,,
AMC-9 (Americom 9),USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-82.95,"35,773","35,798",2.97E-04,0.05,1436.08,"4,100","2,000","10,000",6/7/2003,15+ yrs.,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton-K,2003-024A,27820,"Television programmers, government agencies and enterprise networks; 24 Ku-band; CONUS and Mexico.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-9.html,http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html#AMC-9,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Amos 1 ,Israel,Israel Aircraft Industries,Military/Commercial,Communications,GEO,,-1.53,"35,766","35,806",4.74E-04,0.41,1436.1,961,580,"1,200 (BOL)",5/16/1996,11 yrs.,IAI/Alcatel/Daimler-Benz Aerospace,Israel,Guiana Space Center,Ariane 44L,1996-030B,23865,"7 transponders in Ku-band; voice and vision communications; Central Europe, Middle East centered on Israel.",,JM/12_08,www.globalsecurity.org/org/news/2003/030113-shuttle01.htm,www.mfa.gov.il/mfa/go/asp?MFAH0a4y0,http://nssdc.gsfc.nasa.gov/spacewarn/spx511.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Amos 2 ,Israel,Israel Aircraft Industries,Military/Commercial,Communications,GEO,,-3.98,"35,778","35,794",1.90E-04,0.05,1436.08,"1,400",646,"1,900 (EOL)",12/27/2003,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132,"Ku-band communications, Europe, Middle East, East Coast of USA.",,JM/12_08,http://www.israeli-weapons.com/weapons/space/amos/AMOS_2.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx602.html,http://www.spacecom.co.il/amos2launch/amos2launch.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Amos 3,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,,-3.99,"35,783","35,789",7.12E-05,0.04,1436.1,,,,4/28/2008,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,http://www.lib.cas.cz/space.40/2008/I021A.HTM,http://www.amos-spacecom.com/amos1/page.asp?newsid=4&type=6&lang=1&cat=68,"http://www.ynetnews.com/articles/0,7340,L-3536659,00.html",http://www.amos-spacecom.com/newsite/page.asp?cat=45&type=4&lang=1,,
"Amsat-Echo (Oscar 51, AO-51)",USA,Amsat-NA,Civil,Amateur Radio,LEO,Sun-Synchronous,,698,799,7.09E-03,98.2,99.79,12,,,6/29/2004,,Amsat-NA/SpaceQuest,USA,Baikonur Cosmodrome,Dnepr 1,2004-025K,28375,American amateur radio satellite.,,JMSatcat1104,http://www.amsat.org/amsat-new/satellites/status.php,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/025K.HTM,http://www.amsat.org/amsat-new/satellites/status.php,,
Amsat-Oscar 7 (AO-7),USA,Amsat-NA,Civil,Amateur Radio,LEO,Sun-Synchronous,,"1,440","1,460",1.28E-03,101.7,114.9,29,,,11/15/1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,07530,American amateur radio satellite.,,JMSatcat1104,http://www.amsat.org/amsat-new/satellites/status.php,http://www.emilyshouse.com/experthams/ao7/main.php,,,,,
Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.27,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710","2,950","15,500 (EOL)",11/21/2000,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",,JM/12_08,,http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_04_17_anikf2.html,http://www.telesat.ca/satellites/photos/satellites_gallery7.htm,,,,
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.30,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",,"10,000",9/9/2005,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton-M,2005-036A,28868,"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.",,JM/12_08,http://www.telesat.ca/satellites/index.htm,http://www.telesat.ca/news/2005/05-14.htm,http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM,,,
