"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
"AMC-1 (Americom 1, GE-1)",AMC-1,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 103.05° W",-103.05,"35,775","35,798",2.73E-04,0,1436.1,"2,783","1,600","6,500 (EOL)",9/8/1996,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",,JM/304,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-1.html,http://www.chinastar.com.cn/english/sate/xnzb.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"AMC-10 (Americom-10, GE 10)",AMC-10,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 146.62° W",-146.62,"35,661","35,727",7.85E-04,0.07,1431.4,"2,315",907,"6,500 (EOL)",2/5/2004,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,,JM/304,http://www.ses-americom.com/media/2004/02_05_04.html,http://www.ses-americom.com/satellites/amc-10-11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html,http://www.planet4589.org/space/jsr/back/news.520,,,
"AMC-11 (Americom-11, GE 11)",AMC-11,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 131° W",-131.00,"35,779","35,794",1.78E-04,0.01,1436.11,"2,340","2,316 (BOL)","6,500 (EOL)",5/19/2004,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html,http://www.ses-americom.com/satellites/amc-10-11.html,http://www.spaceref.com/news/viewpr.html?pid=14268,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/www/space.40/2004/017A.HTM,,
AMC-14 (Americom-14),AMC-14,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 65.1° W",-65.10,733,"35,576",7.10E-01,49,576,"4,200",,,3/14/2008,,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton-M,2008-011A,32708,Launch vehicle failed to deliver the satellite to geostationary orbit. Using onboard fuel will greatly curtail service life of satellite.,,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx653.html,http://www.lib.cas.cz/space.40/2008/I011A.HTM,http://www.ses-americom.com/americom_2008/siteSections/press_room/press_releases/03_17_08.php,,,,
AMC-15 (Americom-15),AMC-15,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 105° W",-105.00,"35,780","35,794",1.66E-04,0.03,1436.08,"4,200",,,10/14/2004,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton-M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",,SC - ASCR,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx612.html,http://www.ses-americom.com/satellites/amc-15.html,http://www.lib.cas.cz/www/space.40/2004/041A.HTM,,,
AMC-16 (Americom-16),AMC-16,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 85° W",-85.00,"35,779","35,794",1.78E-04,0,1436.08,"4,312",,,12/17/2004,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",,SC - ASCR,http://www.lib.cas.cz/www/space.40/2004/048A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html,http://www.ses-americom.com/satellites/amc-16.html,http://www.rednova.com/news/display/?id=112116,,,
AMC-18 (Americom 18),AMC-18,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 105° W",-105.00,"35,784","35,789",5.93E-05,0.04,1436.1,"2,081",918,,12/8/2006,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,,SC - ASCR,http://www.ses-americom.com/americom/siteSections/pressroom/12_08_06.php,http://www.lib.cas.cz/www/space.40/INDEX1.HTM,,,,,
"AMC-2 (Americom 2, GE-2)",AMC-2,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 105.01° W",-105.01,"35,775","35,797",2.61E-04,0.01,1436.1,"2,648","1,600","6,500 (EOL)",1/30/1997,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-2.html,,,,,
"AMC-23 (Worldsat 3, Americom 23)",AMC-23,USA,New Skies Satellites N.V. (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 172° E",+172.00,"35,776","35,792",1.90E-04,0,1435.96,"5,000",,"13,000",12/29/2005,16 yrs.,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton-M,2005-052A,28924,"Hybrid C/Ku-band satellite. 20 Ku-band, 18 C-band transponders. Broadcast, Internet, business; Ku-band tailored to broadband for Boeing Connexion; Pacific region.",,JMSatcat206,http://www.spacenewsfeed.co.uk/2006/1January2006_7.html,http://www.ses-global.com/ses-global/siteSections/mediaroom/Latest_News/29_12_05/index.php,http://www.geamericom.com/americom/siteSections/satellitesAndTeleports/plannedsatellites/amc23/index.php,http://www.defense-aerospace.com/cgi-bin/client/modele.pl?prod=31819&session=dae.17286678.1139512222.Q@uTnsOa9dUAAEubvqk&modele=jdc_1,,,
"AMC-3 (Americom 3, GE-3)",AMC-3,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 87.12° W",-87.12,"35,781","35,792",1.30E-04,0.04,1436.1,"2,845","1,600","6,500 (EOL)",9/4/1997,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2 AS,1997-050A,24936,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",,JM/304,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-3.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,
