"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
AsiaSat 2 ,AsiaSat 2,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 100.52° E",+100.52,"35,777","35,796",2.25E-04,0.02,1436.12,"3,460","1,500","7,100",11/28/1995,13 yrs.,Lockheed Martin Astro Space,USA,Xichang Satellite Launch Center,Long March CZ-2E,1995-064A,23723,"TV communications to 53 countries; internet, multimedia, 24 C-band, 9 Ku-band transponders.",,JM/103,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx506.html,http://www.asiasat.com/eng/02_satellites/system_03.html,,,,
AsiaSat 3S (Asiasat 3SA),AsiaSat 3S,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 105.51° E",+105.51,"35,781","35,793",1.42E-04,0.02,1436.16,"3,480","2,500","10,000",3/21/1999,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton-K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",,JM/103,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx545.html,http://www.asiasat.com/eng/02_satellites/system_03.html,,,,
AsiaSat 4 ,AsiaSat 4,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 121.99° E",+121.99,"35,787","35,787",0.00E+00,0.02,1436.15,"4,137","2,275","9,500",4/12/2003,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718,"28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong.",,JM/103,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx594.html,http://www.asiasat.com/eng/02_satellites/system_03.html,,,,
AsiaStar ,AsiaStar,USA,WorldSpace Corp.,Commercial,Communications,"GEO, 105.04° E",+105.04,"35,773","35,800",3.20E-04,0.01,1436.13,"2,775","1,530","5,600",3/21/2000,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx557.html,http://www.worldspace.com/about/index.html,,,,
Astra 1C ,Astra 1C,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 4.6° E",+4.60,"35,773","35,798",2.97E-04,0.01,1436.08,"2,790","1,700","3,300",5/12/1993,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 42L,1993-031A,22653,16 Ku-band transponders; 48 channels; broadcast and broadband multimedia services; continental Europe.,,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx475.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=8,http://perso.wanadoo.fr/eurospace/espdatabase/S596.html,,,
Astra 1D ,Astra 1D,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 22.94° E",+22.94,"35,775","35,798",2.73E-04,0.05,1436.11,"2,924","1,700","3,300",11/1/1994,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx493.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=16,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Astra 1E ,Astra 1E,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 19.21° E",+19.21,"35,773","35,798",2.97E-04,0.01,1436.08,"3,014","1,800","4,150",10/19/1995,14 yrs.,Hughes,USA,Guiana Space Center,Ariane 42L,1995-055A,23686,"54 to 108 digital TV programs to W. Europe; 18 Ku-band transponders; backup for 1B, 1C or 1D",,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx504.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=9,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Astra 1F ,Astra 1F,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 19.23° E",+19.23,"35,773","35,798",2.97E-04,0.01,1436.08,"3,010","1,800","4,400",4/18/1996,15 yrs.,Hughes,USA,"Baikonur Cosmodrome, Kazakhstan",Proton-K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx510.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=10,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Astra 1G ,Astra 1G,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 19.21° E",+19.21,"35,773","35,798",2.97E-04,0.01,1436.08,"3,379","3,010 (BOL)","6,600",12/2/1997,15 yrs.,Hughes,USA,"Baikonur Cosmodrome, Kazakhstan",Proton-K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,,JM/304,www.astra.lu/corporate/satellites/fleet,http://www.lib.cas.cz/www/space.40/1997/076A.HTM,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=11,,,,
Astra 1H ,Astra 1H,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 19.25° E",+19.25,"35,773","35,798",2.97E-04,0.01,1436.08,"3,690","2,300","6,600",6/18/1999,15 yrs.,Hughes,USA,"Baikonur Cosmodrome, Kazakhstan",Proton-D,1999-033A,25785,"Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe.",,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx548.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Astra 1KR,Astra 1KR,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 19.2° E",+19.20,"35,631","35,696",7.73E-04,0.14,1429.81,"4,332",,"12,000",4/20/2006,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.,,SC - ASCR,www.astra.lu/corporate/satellites/fleet,http://www.lib.cas.cz/www/space.40/2006/012A.HTM,http://en.wikipedia.org/wiki/Astra_1KR,,,,
Astra 1L,Astra 1L,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 19.2° E",+19.20,"35,777","35,796",2.25E-04,0.12,1436.08,"4,500",,"13,000",5/4/2007,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5-ECA,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.",,SC - ASCR,http://www.ses-global.com/corpSite/site_en/04_ASTRAFleet/03_satellite_list/astra1l/index.php,http://www.lib.cas.cz/www/space.40/2007/016A.HTM,http://www.space-travel.com/reports/Lockheed_Martin_Built_Astra_1L_Satellite_Ready_For_Launch_999.html,,,,
Astra 2A ,Astra 2A,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 28.17° E",+28.17,"35,766","35,806",4.74E-04,0.04,1436.09,"3,635","2,500 (BOL)","7,000",8/30/1998,15 yrs.,Hughes,USA,"Baikonur Cosmodrome, Kazakhstan",Proton-K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",,JM/304,www.astra.lu/corporate/satellites/fleet,http://www.lib.cas.cz/www/space.40/1998/050A.HTM,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=2,,,,
Astra 2B ,Astra 2B,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 28.14° E",+28.14,"35,764","35,806",4.98E-04,0.02,1436.03,"3,315","1,400","7,800",9/14/2000,14yrs.,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.",,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx563.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=13,http://www.planet4589.org/space/jsr/back/news.435,,,
Astra 2C ,Astra 2C,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 19.22° E",+19.22,"35,768","35,804",4.27E-04,0.08,1436.09,"3,643","2,000","7,000",6/16/2001,15 yrs.,Boeing Satellite Systems,USA,"Baikonur Cosmodrome, Kazakhstan",Proton-K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe",,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx572.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=14,http://www.planet4589.org/space/jsr/back/news.455,,,
Astra 2D,Astra 2D,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 28.09° E",+28.09,"35,768","35,805",4.39E-04,0.03,1436.12,"1,420",700,"1,500",12/19/2000,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.",,JM/304,www.astra.lu/corporate/satellites/fleet,,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=15,http://www.planet4589.org/space/jsr/back/news.442,,,
Astra 3A ,Astra 3A,Luxembourg,SES Astra (part of SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 23.55° E",+23.55,"35,779","35,791",1.42E-04,0.07,1436.05,"1,500",750,"1,500",3/29/2002,10 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.",,JM/304,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx581.html,http://www.ses-americom.com/bev.3a.html,http://www.planet4589.org/space/jsr/back/news.476,,,
Astro-F (Akari),Astro-F,Japan,Japan Aerospace Exploration Agency (JAXA)/Institute of Space and Astronautical Science (ISAS),Government,Scientific Research,"LEO, Sun-sync.",,707,716,6.35E-04,98.2,,952,,,2/21/2006,1.5 yrs.,Japan Aerospace Exploration Agency (JAXA),Japan,Uchinoura Space Center,M-5,2006-005A,28939,Astrophysics mission,,SC - ASCR,http://www.ir.isas.jaxa.jp/ASTRO-F/Outreach/index_e.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx628.html,,,,,
Atlantic Bird 1 ,Atlantic Bird 1,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,"GEO, 12.49° W",-12.49,"35,771","35,801",3.56E-04,0.05,1436.1,"2,700","1,550","5,100",8/28/2002,15 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane-5G,2002-040A,27508,"Twenty channels, telecommunications services between Europe and the Americas.",,JM/304,www.eutelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,
Atlantic Bird 2 ,Atlantic Bird 2,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,"GEO, 8.15° W",-8.15,"35,769","35,804",4.15E-04,0.02,1436.1,"3,150","1,368","7,400",9/25/2001,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-042A,26927,European and American coverage.,,JM/304,www.eutelsat.com,www.space.com/missionlaunches/ariane_launch_010925.html,http://www.eutelsat.com/satellites/4_1.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Atlantic Bird 3 (Stellat 5),Atlantic Bird 3,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,"GEO, 5.08° W",-5.08,"35,770","35,801",3.68E-04,0.01,1436.09,"4,050","1,805","11,000",7/5/2002,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2002-035A,27460,"45 transponders; Ku and C-band frequencies, Americas, Europe and Africa.",,JM/304,www.eutelsat.com,www.lyngsat.com/tracker/ab3.shtml,http://www.eutelsat.com/satellites/4_1.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.arianespace.com/site/news/espace/e.space176.fr.pdf,,
Atlantic Bird 4 (Hot Bird 4) ,Atlantic Bird 4,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,"GEO, 13.01° E",+13.01,"35,768","35,803",4.15E-04,0.08,1436.08,"2,885","1,310","6,000",2/27/1998,14 yrs.,Matra Marconi Space (Astrium),France/UK/Germany,Guiana Space Center,Ariane 4,1998-013A,25237,Europe and North Africa; 20 active channels,,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,www.eutelsat.com,,,,,
"ATS-3 (Application Technology Satellite-3, ATS-C)",Application Technology Satellite-3 (ATS-3),USA,"Satellite Command and Control Facility, Univ. of Miami",Government/Civil,Meteorological/Communications/Observation,"GEO, 105.76° W",-105.76,"35,724","35,848",1.47E-03,12.53,1436.08,365,304,,11/5/1967,,Hughes Aircraft,USA,Cape Canaveral,Atlas,1967-111A,03029,Transmitted first color photographs of earth; first voice communication between space and earth; currently supports US Antarctic program.,,JM/304,http://www.boeing.com/defense-space/space/bss/factsheets/376/ats/ats.html,http://ice.rsmas.miami.edu/access.html,http://roland.lerc.nasa.gov/~dglover/sat/satcom2.html#ATS,http://www.lib.cas.cz/www/space.40/1967/111A.HTM,,,
Badr 2 (Badr B),Badr 2,Pakistan,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),Government/Military,Remote sensing/technology development,"LEO, Sun-sync.",,985,"1,014",1.97E-03,99.5,105.1,70,,,12/10/2001,2+ yrs.,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),Pakistan,Baikonur Cosmodrome,Zenit-2,2001-056C,27003,Pakistan's microsatellite for development of surveillance capability.,,JMSatcat304,http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html,http://www.fas.org/spp/guide/pakistan/earth/,http://www.suparco.gov.pk/sat_badr2.htm,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Badr 3 (Arabsat 3A) ,Badr 3,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,"GEO, 25.93° E",+25.93,"35,782","35,790",9.49E-05,0.02,1436.08,"2,700","1,200","6,400",2/26/1999,15 yrs.,Aerospatiale Matra SA,France,Guiana Space Center,Ariane 44L,1999-009A,25638,"Third generation; broadcasting, internet; 20 Ku-band transponders",,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.arabsat.com,http://www.selkirkshire.demon.co.uk/analoguesat/comparison24.html,,,,
Badr 4 (Arabsat 4B),Badr 4,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,"GEO, 30° E",+30.00,"35,766","35,805",4.63E-04,0.07,1436.05,"3,304","1,487",,11/8/2006,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton-M,2006-051A,29526,28 Ku-band transponders; voice and video communications to West Asia region.,,SC - ASCR,http://www.lib.cas.cz/knav/space.40/2006/051A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx637.html,,,,,
"Badr C (Intelsat 5, IS-5, Arabsat 2C, PanAmSat-5, PAS-5)",Badr C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,"GEO, 26.11° E",+26.11,"35,774","35,798",2.85E-04,0.03,1436.09,"2,730","2,519","9,700",8/28/1997,15 yrs.,Hughes Space and Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-046A,24916,"28 C-band, 28 Ku-band; covers Arab world.",,JM/304,http://www.lib.cas.cz/www/space.40/1997/046A.HTM,http://www.arabsat.com/,http://www.selkirkshire.demon.co.uk/analoguesat/comparison20.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Beidou 1A (Beidou Navigation Test Satellite),Beidou 1A,China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,"GEO, 139.99° E",+139.99,"35,773","35,797",2.85E-04,0.01,1436.05,"2,200",,,10/30/2000,,Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March CZ-3A,2000-069A ,26599,"Beidou navigation system (BNS); improve accuracy of weapons and situational awareness of military forces; in GEO unlike most navigation systems. Beidou means ""Northern Dipper.""",,JM/304,http://www.sinodefence.com/space/spacecraft/bd1.asp,http://nssdc.gsfc.nasa/gov/spacewarn/spx564.html,http://www.spacedaily.com/news/gps-00k.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Beidou 1B (BNTS-1B),Beidou 1B,China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,"GEO, 80.28° E",+80.28,"35,777","35,794",2.02E-04,0.03,1436.07,"2,200",,,12/20/2000,,Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March CZ-3A,2000-082A,26643,Space-based navigation and positioning system to improve accuracy of weapons and situational awareness of military forces.,,JM/304,http://nssdc.gsfc.nasa.gov/spacewarn/spx566.html,http://sinodefence.com/space/spacecraft/bd1.asp,http://www.spacedaily.com/news/china-01b.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Beidou 1C (Dong Fang Hong 54),Beidou 1C,China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,"GEO, 110.27° E",+110.27,"35,733","35,839",1.26E-03,0.16,1436.09,"2,200",,,5/24/2003,,Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March CZ-3A,2003-021A,27813,Space-based navigation and positioning system to improve accuracy of weapons and situational awareness of military forces; weather monitoring and telecommunications; final constellation of 4 satellites.,,JM/304,http://www.globalsecurity.org/space/world/china/beidou.htm,http://nssdc.gsfc.nasa/gov/spacewarn/spx595.html,http://nssdc.gsfc.nasa.gov/nmc/tmp/2003-021A-traj.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Beidou 1D (Dong Fang Hong 73),Beidou 1D,China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,"GEO, 141° E",+141.00,"35,796","35,796",0.00E+00,6.2,,,,,2/2/2007,,Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March CZ-3A,2007-003A,30323,Space-based navigation and positioning system to improve accuracy of weapons and situational awareness of military forces; weather monitoring and telecommunications; final constellation of 4 satellites.,,,,,,,,,
Beidou M1 (Compass M1),Beidou M1,China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,MEO,,"21,519","21,545",4.66E-04,55.26,773.39,,,,4/13/2007,,Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March 3A,2007-011A,31115,Part of Compass constellation; first one in MEO orbit.,,,http://www.n2yo.com/satellite.php?s=31115,http://www.lib.cas.cz/www/space.40/2007/011A.HTM,,,,,
"BeijinGalaxy-1 (Tsinghau-2, China DMC+4)",BeijinGalaxy-1,China (PR),Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Earth Observation,"LEO, Sun-sync.",,682,705,1.63E-03,98.18,98.64,166,155,50,10/27/2005,7 yrs.,Tsinghua University/University of Surrey,China (PR)/United Kingdom,Plesetsk Cosmodrome,Cosmos 3M,2005-043A,28890,Earth observation for Disaster Monitoring Constellation (DMC); also research.,,SC - ASCR,http://www.spacedaily.com/news/microsat-00k.html,http://www.spacenewsfeed.co.uk/2005/30October2005_25.html,http://www.lib.cas.cz/www/space.40/2005/043A.HTM,http://directory.eoportal.org/pres_DMCDisasterMonitoringConstellationAlSAT1BILSAT1NigeriaSat1UKDMCBeijing1.html,,,
Bilsat-1 ,Bilsat-1,Turkey,Bilten Satellite Technologies Group,Government/Civil,Earth Observation,"LEO, Sun-sync.",,677,692,1.06E-03,98.2,98.45,120,100,232,9/27/2003,5-10 yrs.,Bilten Satellite Technologies Group,Turkey,Plesetsk Cosmodrome,Kosmos 3M,2003-042E,27945,Turkey's first earth observation satellite; part of international Disaster Monitoring Constellation (DMC).,,JMSatcat304,http://www.bilten.metu.edu.tr/Web_2002_v1/en/sayfa_a2.asp?sayalim=sayfa_a2,http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html,http://www.bilten.metu.edu.tr/bilsat/en/root/,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://directory.eoportal.org/pres_DMCDisasterMonitoringConstellationAlSAT1BILSAT1NigeriaSat1UKDMCBeijing1.html,,
Bird 2 (Bispectral InfraRed Detector 2),Bispectral InfraRed Detector 2 (Bird 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Remote Sensing/Technology Development,"LEO, Sun-sync.",,550,580,2.16E-03,97.7,95.96,92,77,120,10/22/2001,1.5 yrs.,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV-C3,2001-049C,26959,Forest fire recognition by small satellites.,,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html,http://spacesensors.dlr.de/SE/bird/,http://www.lib.cas.cz/www/space.40/2001/049C.HTM,,,
Bonum 1 (Most 1),Bonum 1,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,"GEO, 56.04° E",+56.04,"35,775","35,795",2.37E-04,0.06,"1,436.04","1,452",620,"1,500",11/22/1998,12 yrs.,Hughes Space and Communications,USA,Cape Canaveral,Delta 2,1998-068A,25546,"Television broadcasting; 8 Ku-band, Siberia or Europe, selected.",,JM/304,http://www.telesputnik.ru/archive/all/n39/10_eng.html,http://nssdc.gsfc.nasa/gov/spacewarn/spx541.html,http://www.boeing.com/defense-space/space/bss/factsheets/376/bonum_1/bonum_1.html,,,,
