"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA 113,USA,US Air Force,Military,Communications,GEO,,-52.4,"35,784","35,784",0.00E+00,0,1436.1,"1,156",884,"1,240",7/31/1995,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,GS,,http://www.space-technology.com/projects/sicral/,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 18 (USA 130) (Defense Support Program),USA 130,USA,Air Force,Military,Early Warning,GEO,,0,"35,780","35,800",2.37E-04,0.1,1436.27,"2,380",,"1,485",2/23/1997,5 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,1997-008A,24737,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JMSatcat304,,,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 20 (USA 149) (Defense Support Program),USA 149,USA,Air Force,Military,Early Warning,GEO,,-36.25,"35,897","35,909",1.42E-04,4.08,142.08,"2,380",,"1,485",5/18/2000,7-9 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,2000-024A,26356,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JM/12_08,,,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 21 (USA 159) (Defense Support Program),USA 159,USA,Air Force,Military,Early Warning,GEO,,69.48,"35,765","35,810",5.34E-04,3.68,1436.14,"2,380",,"1,485",8/6/2001,7-9 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan 4B,2001-033A,26880,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JM/12_08,http://www.spaceline.org/news/titan/dsp-21/dsp-21.html,http://www.spaceandtech.com/spacedata/logs/2001/2001-033a_dsp-21_sum.shtml,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 22 (USA 176) (Defense Support Program),USA 176,USA,Air Force,Military,Early Warning,GEO,,103.84,"35,741","35,832",1.08E-03,1.41,1436.12,"2,380",,"1,485",2/14/2004,7-9 yrs.,Northrup Grumman (formerly TRW),USA,Cape Canaveral,Titan 4B,2004-004A,28158,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JM/12_08,,,http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DubaiSat-1,DubaiSat 1,UAE,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,Sun-Synchronous,0,662,680,1.28E-03,98,98.2,200,,360,7/29/2009,5 yrs.,Satrec Initiative,South Korea,Baikonur Cosmodrome,Dnepr,2009-041B,35682,"Optical imaging camera; will be used for urban development, scientific research, telecommunications, transportation, construction and mapping, water quality and engineering tests.",,www.satellitedebris.net 12/12,http://gulfnews.ae/business/Technology/10329297.html,http://directory.eoportal.org/presentations/10001145/10001146.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 1 ,Echostar 1 ,Mexico,"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)",Commercial,Communications,GEO,,77.15,"35,776","35,795",2.25E-04,0.01,1436.07,"3,287","2,000","7,000",12/28/1995,12 yrs.,Lockheed Martin Astro Space,USA,Xichang Satellite Launch Center,Long March 2E,1995-073A,23754,Operating as Mexican satellite until replaced by Quetzsat; Echostar will have capacity on that satellite.,,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo1/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,licensing.fcc.gov/myibfs/download.do?attachment_key=784705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 10,Echostar 10,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-110.07,"35,780","35,792",1.42E-04,0.06,1436,"4,333",,"10,000",2/15/2006,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Sea Launch,Zenit 3SL,2006-003A,28935,"Direct-to-home transmission of voice, video and internet.",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echoX/index.shtml,http://www.space.com/missionlaunches/060216_sea_launch.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2006/003A.HTM&act=print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 11,Echostar 11,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-109.97,"35,778","35,793",1.78E-04,0.03,1436.1,"5,500",,"20,000",7/16/2008,15 yrs.,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,2008-035A,33207,Direct-to-home television.,,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx657.html,http://www.space-travel.com/reports/Sea_Launch_Delivers_Echostar_11_To_Orbit_999.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 12 (Rainbow-1) ,Echostar 12,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-61.63,"35,782","35,791",1.07E-04,0.06,1436.11,"4,328",,,7/17/2003,18 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2003-033A,27852,Direct-to-home television services; cable's attempt to compete with dish networks.,,JM/12_08,,http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html,http://www.cablevision.com/index.jhtml?id=2003_07_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 14,Echostar 14,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-119,"35,785","35,789",4.74E-05,0.05,1436.11,"6,384","3,223","20,000",3/20/2010,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-010A,36499,Direct-to-home over CONUS.,,SC - ASCR,http://www.lib.cas.cz/space.40/2010/I010A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx677.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 15,Echostar 15,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-61.5,"35,789","35,803",1.66E-04,0.07,1436.57,"5,521",,"20,000",7/10/2010,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-034A,36792,Direct-to-home over CONUS.,,SC - ASCR,http://www.lib.cas.cz/space.40/2010/034A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx681.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 16,Echostar 16,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-61.5,"35,776","35,796",2.37E-04,0.05,1436.06,"6,658","3,228",,11/20/2012,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-065A,39008,Direct-to-home over CONUS.,,SC - ASCR,http://spaceflightnow.proton/echostar16/121120launch/#.UOXlbnfjtK1,http://space50.kosmo.cz/s40/2012/I065A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 17,Echostar 17,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-107.1,"35,781","35,794",1.54E-04,0.01,1436.13,"6,100",,"16,100",7/5/2012,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2012-035A,38551,All ka-band communications.,,ZARYA,http://www.spacenews.com/launch/120706-echostar17-healthy.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 3 ,Echostar 3 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-61.46,"35,783","35,790",8.30E-05,0.02,1436.11,"3,674","1,700","10,000",10/5/1997,12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2AS,1997-059A,25004,Central/Mountain region to Eastern U.S.; 32 Ku-band transponders,,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo3/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 6 ,Echostar 6 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-72.71,"35,775","35,798",2.73E-04,0.07,1436.12,"3,700","1,493","11,000",7/14/2000,12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2AS,2000-038A,26402,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo6/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 7 ,Echostar 7 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-118.85,"35,782","35,789",8.30E-05,0.01,1436.07,"4,027","2,200","13,000",2/21/2002,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 3B,2002-006A,27378,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo7/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 8 ,Echostar 8 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-76.97,"35,783","35,789",7.12E-05,0.01,1436.1,"4,660",,"10,000",8/21/2002,12 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2002-039A,27501,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo8/index.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",Echostar 9/Galaxy 23,USA,"Echostar Technologies, LLC/Intelsat ",Commercial,Communications,GEO,,-121.02,"35,775","35,797",2.61E-04,0.01,1436.08,"4,000","2,500",,8/8/2003,13 yrs.,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,2003-034A,27854,"24 C-band, 2 Ka-band, 32 Ku-band; additional C-band payload owned and operated by Loral Skynet.",,JM/12_08,http://www.abcnewsabsat.com/home.html,www.spaceflightnow.com/sealaunch/echostar9/status.html,http://www.intelsat.com/news/releases/press/2003-26.asp,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Echostar G1 (ICO G1, DBSD G1)",Echostar G1,USA,Dish Network,Commercial,Communications,GEO,,-92.92,"35,773","35,799",3.08E-04,5.73,1436.1,"6,600",,"16,000",4/14/2008,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,2008-016A,32763,"CONUS, Puerto Rico, Virgin Islands. Purchased by Dish Network in 2011. ",,JM/12_08,http://www.ico.com/_about/tech/geo.php,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,http://www.lib.cas.cz/space.40/2008/016A.HTM,http://www.spacenews.com/satellite_telecom/120418-boeing-wins-appeal-ico-global-case.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EduSAT,EduSAT,Italy,School of Aerospace Engineering - University of Rome,Civil,Technology Development,LEO,Sun-Synchronous,0,639,694,3.91E-03,98.2,98.1,10,,,8/17/2011,,"Aerospace Engineering School, University of Rome ",Italy,Dombarovsky Missile Base,Dnepr 1,2011-044A,37788,"Built by Aerospace school, University of Rome.",,www.satellitedebris.net 12/12,http://www.gaussteam.com/index.php?option=com_content&view=article&id=94:edusat-english-version&catid=35:edusa&Itemid=195,http://events.eoportal.org/presentations/236/10002443.html,http://www.lib.cas.cz/space.40/2011/044A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro-L1 (GOMS 2 [Geostationary Ioperational Meteorological Satellite 2],Electro-L1,Russia,   Roshydromet - Planeta,Government,Meteorological,GEO,,76,"35,323","35,750",5.09E-03,0.46,1423.35,"1,766",,,1/20/2011,10 yrs.,Lavochkin,Russia,Baikonur Cosmodrome,Zenit,2011-001A,37344,"Satellite's position in GEO will yield real-time views of entire Earth disk -- wide swath of Asia, Middle East and Indian Ocean. Will also provide communciations for search-and-rescue services.",,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx687.html,http://www.lib.cas.cz/space.40/2011/001A.HTM,http://www.lib.cas.cz/space.40/2011/001A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-E12 (ELectronic Intelligence by SAtellite),ELISA-E12,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,0,675,692,1.21E-03,98.21,98.43,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076B,38008,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-E24 (ELectronic Intelligence by SAtellite),ELISA-E24,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,0,677,692,1.06E-03,98.21,98.46,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076C,38009,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-W11 (ELectronic Intelligence by SAtellite),ELISA-W11,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,0,675,692,1.21E-03,98.21,98.43,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076D,38010,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-W23 (ELectronic Intelligence by SAtellite),ELISA-W23,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,0,677,692,1.06E-03,98.21,98.45,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076A,38007,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,Astronomy News,http://www.spacenews.com/military/111216--french-elint-end-decade-start.html,http://astronomy.activeboard.com/t13482134/elisa-satellites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EO-1 (Earth Observing 1),EO-1,USA,NASA Earth Science Office,Government,Earth Observation/Research,LEO,Sun-Synchronous,0,678,690,8.51E-04,98.1,98.4,572,,600,11/21/2000,5 yrs.,Swales Aerospace,USA,Vandenberg AFB,Delta 2,2000-075A,26619,One-year technology validation/demonstration mission; image Earth's surface in numerous wavelength bands.,,www.satellitedebris.net 12/12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://earthobservatory.nasa.gov/Library/EO1/eo1.html,http://eo1.usgs.gov/,http://directory.eoportal.org/pres_EO1EarthObserving1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS-AM Terra ,Terra,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Government,Earth Science,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,"4,854",,"2,530",12/18/1999,6 yrs.,TRW Space,USA,Vandenberg AFB,Atlas 2AS,1999-068A,25994,,,www.satellitedebris.net 12/12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://terra.nasa.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS-CHEM Aura ,Aura,USA,Goddard Space Flight Center/EOS Data and Operations System,Government,Remote Sensing,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,"2,967",,"4,600 (EOL)",7/15/2004,5+ yrs.,TRW,USA,Vandenberg AFB,Delta 2,2004-026A,28376,"Study Earth's ozone, air quality, and climate; extension of UARS and TOMS missions.",,www.satellitedebris.net 12/12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.technewsworld.com/story/35136.html,http://aura.gsfc.nasa.gov/,http://www.lib.cas.cz/knav/space.40/2004/026A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",Aqua,USA/Japan/Brazil,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,0,701,704,2.12E-04,98.2,98.8,"2,934","2,832","4,860 (EOL)",5/4/2002,6 yrs.,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,2002-022A,27424,Six-year chronology of the planet and its hydrological processes.,,www.satellitedebris.net 12/12,http://www.gsfc.nasa.gov/topstory/2003/0528aqua.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx583.html,http://aqua.gsfc.nasa.gov/,http://www.tierramerica.net/2002/0721/iacentos.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://directory.eoportal.org/pres_AQUA.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EROS A1 (Earth Resources Observation Satellite),EROS A-1,Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,0,530,547,1.23E-03,97.6,95.4,240,,,12/5/2000,6 yrs.,Israel Aircraft Industries (IAI),Israel,Svobodni Cosmodrome,Start 1,2000-079A,26631,"High resolution imaging satellite; obtain images (with terrain width of 12.6 km) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km radius.",,www.satellitedebris.net 12/12,www.spaceandtech.com/spacedata,http://nssdc.gsfc.nasa.gov/spacewarn/spx566.html,http://www.coresw.com/news/isi20001205.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EROS B1 (Earth Resources Observation Satellite),EROS B-1,Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,0,508,514,4.36E-04,97.4,94.8,350,,800,4/25/2006,10 yrs.,Israel Aircraft Industries (IAI),Israel,Svobodni Cosmodrome,Start 1,2006-014A,29079,"High resolution imaging satellite; obtain images (with resolution of 0.82 meters) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km around Israel.",,www.satellitedebris.net 12/12,http://www.spaceandtech.com/spacedata/logs/2003/erosb1_sumpub.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-st@r,e-st@r,Italy,Politecnico di Torino,Civil,Technology Development,Elliptical,,0,306,"1,313",7.01E-02,69.48,101.08,,1,,2/13/2012,1 yr.,Politecnico di Torino,Italy,Guiana Space Center,Vega,2012-006C,38079,Put into backup to charge batteries - tumbling has caused problems. Future project uncertain.,,SC - ASCR,https://directory.eoportal.org/web/eoportal/satellite-missions/e/e-star,http://www.amsat.org/amsat-new/satellites/satInfo.php?satID=147&retURL=/satellites/status.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EstCube-1,EstCube-1,Estonia,University of Tartu,Civil,Technology Development,LEO,Sun-Synchronous,0,658,671,9.24E-04,98.13,98.03,1,,,5/7/2013,1 yr.,University of Tartu,Estonia,Guiana Space Center,Vega,2013-021C,39161,Estonian Student Satellite project - hands-on experience on developing space technologies.,,SC - ASCR,http://amsat-uk.org/tag/estcube-1/,http://www.ut.ee/en/news/estonian-student-satellite-estcube-1-took-first-photo-space,http://space50.kosmo.cz/s40/2013/I021C.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasiasat 1 (Turksat 2A),Eurasiasat 1,Turkey/France,Eurasiasat SAM/Alcatel Space,Commercial,Communications,GEO,,42.08,"35,761","35,810",5.81E-04,0.02,1436.06,"3,535","1,900","9,000 (EOL)",1/10/2001,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-002A,26666,"32 Ku-band transponders; direct-to-home voice, video, and data transmissions to countries between central Europe and the Indian subcontinent.",,JM/12_08,http://www.spaceandtech.com/digest/flash2001/flash2001-004.shtml,http://nssdc.gsfc.nasa.gov/spacewarn/spx567.html,http://www.eurasiasat.com/,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)",Europe*Star 1,Multinational,Europe*Star (Altacel; Loral Global Alliance),Commercial,Communications,GEO,,45.04,"35,776","35,796",2.37E-04,0,1436.09,"4,167","1,729","12,000",10/29/2000,18 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44LP,2000-068A,26590,30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://www.europestar.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 10A (Eutelsat W-2A),Eutelsat 10A,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,10,"35,781","35,822",4.86E-04,0.03,1436.09,"5,900",,,4/3/2009,15 yrs.,Alcatel Alenia Space,France,Baikonur Cosmodrome,Proton M,2009-016A,34710,"46 Ku-band, 10 C-band transponders, S-band not in service due to anomaly.",,JM/7_09,http://www.eutelsat.com/news/media_library/brochures/W2A-flyer.pdf,http:/nssdc.gsfc.nasa.gov/spacewarn/spx666.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 12 West A (Atlantic Bird 1) ,Eutelsat 12 West A,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,-12.43,"35,768","35,805",4.39E-04,0.11,1436.1,"2,700","1,550","5,100",8/28/2002,15 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2002-040A,27508,"Twenty channels, telecommunications services between Europe and the Americas.",,JM/12_08,www.eutelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 16A (Eutelsat W3C),Eutelsat 16A,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,16,"35,779","35,795",1.90E-04,0.2,1436.12,"5,400",,,10/7/2011,,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2011-057A,37836,53 Ku and three Ka transponders; will provide capacity for broadcasting and telecom/data services to Central Europe and Indian Ocean islands. Will support digital video broadcasting markets while coverage of Africa stretching from Senegal to South Africa will serve data and telecom markets.,,JM/1_12,http://www.broadbandtvnews.com/2011/11/04/new-eutelsat-birds-to-meet-growing-demand/,http://www.eutelsat.com/satellites/16e-W3C.html,http://advanced-television.com/index.php/2011/10/04/eutelsat-expands-eurobird-slot/,http://www.lib.cas.cz/space.40/2011/057A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat 16B (Eurobird 16, Atlantic Bird 4, Hot Bird 4) ",Eutelsat 16B,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,-7.19,"35,762","35,810",5.69E-04,0.02,1436.1,"2,885","1,310","6,000",2/27/1998,14 yrs.,Matra Marconi Space (Astrium),France/UK/Germany,Guiana Space Center,Ariane 4,1998-013A,25237,Europe and North Africa; 20 active channels,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,www.eutelsat.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",Eutelsat 16C,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,35.96,"35,754","35,817",7.47E-04,0.07,1436.06,"2,500",,"5,600",4/17/2000,,Alcatel Space/NPO PM (Applied Mechanics),France/Russia,Baikonur Cosmodrome,Proton K,2000-019A,26243,"High-speed Internet access, high-volume data transmission, video broadcasting, messaging and positioning services; 18 Ku-band transponders.",,JM/12_08,http://www.lib.cas.cz/www/space.40/2000/019A.HTM,http://www.eutelsat.com/satellites/4_1.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx558.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",Eutelsat 172A,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,172.06,"35,772","35,799",3.20E-04,0.01,1436.1,"5,000",,"13,000",12/29/2005,16 yrs.,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton M,2005-052A,28924,"Hybrid C/Ku-band satellite. 20 Ku-band, 18 C-band transponders. Broadcast, Internet, business; Ku-band tailored to broadband for Boeing Connexion; Pacific region.",,JM/12_08,http://www.spacenewsfeed.co.uk/2006/1January2006_7.html,http://www.ses-global.com/ses-global/siteSections/mediaroom/Latest_News/29_12_05/index.php,http://www.sat-ge.com/pages/ourcompany.htm,http://www.defense-aerospace.com/cgi-bin/client/modele.pl?prod=31819&session=dae.17286678.1139512222.Q@uTnsOa9dUAAEubvqk&modele=jdc_1,http://www.broadbandtvnews.com/2007/06/18/sat-ge-to-offer-satellite-capacity-across-the-pacific/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
