"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-1 (Advanced Extremely High Frequency satellite-1, USA 214)",USA 214,USA,US Air Force,Military,Communications,GEO,,0,"35,872","36,103",2.73E-03,4.36,1446.36,"6,169",,,8/14/2010,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2010-039A,36868,"Constellation of 3 plus 1; will replace the Milstar system. This satellite's main engine failed right after launch, stranding it in a transfer orbit. It may reach its GEO orbit by summer 2011.",,SC - ASCR,http://www.afspc.af.mil/library/factsheets/factsheet.asp?id=7758,http://www.universetoday.com/71280/aehf-1-rides-atlas-v-to-orbit/,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/039A.HTM,http://spaceflightnow.com/atlas/av019/100830orbit.html,http://www.bloomberg.com/news/2011-02-15/air-force-lockheed-negotiating-over-satellite-failure-cost.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA 235,USA,US Air Force,Military,Communications,GEO,,-40,"35,700","35,700",0.00E+00,20.39,1306.29,"6,169",,,5/3/2012,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas,Aeneas,USA,Department of Homeland Security,Government,Technology Development,LEO,,0,480,790,2.21E-02,0.02,97.4,3,,,9/13/2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonsration program to track cargo containers worldwide.,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,http://www.spaceflight101.com/nrol-36-launch.updates.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4,Aerocube 4,USA,Aerospace Corporation,Commercial,Technology Development,LEO,,0,499,792,2.09E-02,64.6,97.6,4,,,9/13/2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048M,38769,,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5A,Aerocube 4.5A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,,0,495,791,2.11E-02,64.6,97.5,5,,,9/13/2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767,,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5B,Aerocube 4.5B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,,0,499,792,2.09E-02,64.6,97.6,5,,,9/13/2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768,,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africasat-1 (Measat 1, Malaysia East Asia Sat 1)",Africasat-1,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,,46.03,"35,784","35,787",3.56E-05,1.12,1436.06,"1,450",650,"1,200 (BOL)",1/13/1996,12.2 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-002B,23765,"Inclined orbit; digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 12 C-band, 5 Ku-band.",,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/376/measat/measat.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx507.html,http://www.measat.com.my/company_profile.html,http://www.measat.com/investor_calender_1401.html,,http://www.mlesat.com/Measat.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afristar ,Afristar ,USA,1Worldspace,Commercial,Communications,GEO,,20.97,"35,770","35,802",3.80E-04,0.03,1436.09,"2,704","1,530","5,500",10/28/1998,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.",,JM/12_08,www.floridatoday.com/space/explore/stories/1998b/102898ac.htm,http://www.worldspace.com/coveragemaps/afristar.html,http://interglobal.org/frontier/10-30-98.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agila 2/ABS-5 (Agila 2, Mabuhay 1)",Agila 2/ABS-5,International,Asia Broadcast Satellite,Commercial,Communications,GEO,,146.06,"35,769","35,802",3.91E-04,0.05,1436.07,"3,775","1,800","9,000",8/19/1997,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.",,JM/12_08,http://www.mabuhaysat.com/sat&net.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html,http://www.absatellite.net/about/index.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),AGILE,Italy,Italian Space Agency,Government,Scientific Research,LEO,,0,510,534,1.74E-03,2.5,95.1,325,,,4/23/2007,3 yrs.,Carlo Gavazzi Space,Italy,Satish Dhawan Space Center,PSLV C8,2007-013A,31135,Italian gamma ray observatory.,,www.satellitedebris.net 12/12,http://agile.rm.iasf.cnr.it/,http://www.lib.cas.cz/www/space.40/2007/013A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM (Aeronomy of Ice in Mesosphere),AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Science,LEO,,0,570,583,9.36E-04,97.8,96.2,215,197,216,4/25/2007,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,,www.satellitedebris.net 12/12,http://aim.hamptonu.edu/,http://www.lib.cas.cz/www/space.40/2007/015A.HTM,http://www.nasa.gov/mission_pages/aim/index.html,http://www.lib.cas.cz/space.40/2011/044G.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-1 (Automatic Identification System Satellite-1),AISSat-1,Norway,Kongsberg Satellite Services (KSAT),Government,Maritime Tracking/Technology Development,LEO,Sun-Synchronous,0,615,632,1.22E-03,98,97.2,6,,,7/12/2010,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Sriharikota Launch Station,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,,www.satellitedebris.net 12/12,http://www.utias-sfl.net/nanosatellites/AISSat-1/,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035C.HTM,http://directory.eoportal.org/presentations/210/10000834.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2,AIST-2,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,LEO,,0,558,582,1.73E-03,64.88,96.06,53,,,4/19/2013,3 yrs.,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,,,http://www.russianspaceweb.com/aist.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akebono (EXOS-D),Akebono,Japan,"Institute of Space and Aeronautical Science, University of Tokyo",Civil,Space Physics,Elliptical,,0,264,"5,732",2.92E-01,75.1,150.4,,294,270 (EOL),2/21/1989,1 yr.,"Institute of Space and Aeronautical Science, University of Tokyo",Japan,Uchinoura Space Center,Mu 3S2,1989-016A,19822,Investigate particle acceleration regions above auroral region; develop better understanding of acceleration mechanism and relation to substorm phenomena.,,JMSatcat304,http://www.rolfisoft.de/html/satdb_1989_eng.html,http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1989-016A,http://www.jaxa.jp/missions/projects/sat/geospace/akebono/index_e.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphasat I-XL  (Inmarsat IV-A F4),Alphasat I-XL,UK/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,GEO,,25,"35,786","35,787",1.19E-05,0.02,1436.09,"6,650","3,370","12,000",7/25/2013,15 yrs.,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215,Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.,,ZARYA,http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview,http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
