Entity_Name,Entity_Type,Contractor,SATNAME,Purpose,Date_of_First_Launch,Launch_vehicle,Launch_site,COSPAR_number,NORAD_number,Class_of_Orbit,Expected_Lifetime_years,Expected_Lifetime_months,Expected_Deorbit_Date,Sat_Count_entity,Entity_First_Launch,UCS_entry_year
1Worldspace,Commercial,Matra Marconi Space-France,Afristar,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,,15,180,2013-10-28,2,1998-10-28,2015-09-09
1Worldspace,Commercial,Alcatel Space Industries,AsiaStar,Communications,2000-03-21,Ariane 5G,Guiana Space Center,2000-016A,26107,,15,180,2015-03-21,2,1998-10-28,2015-09-09
Aalborg University,Civil,Aalborg University,AAUSat-3,Technology Development,2013-02-25,PSLV,Satish Dhawan Space Center,2013-009B,39087,,,,,1,2013-02-25,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 4.5A,Technology Development,2012-09-13,Atlas 5,Vandenberg AFB,2012-048K,38767,,,,,8,2012-09-13,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 4.5B,Technology Development,2012-09-13,Atlas 5,Vandenberg AFB,2012-048L,38768,,,,,8,2012-09-13,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 5A,Technology Development,2013-12-06,Atlas 5,Vandenberg AFB,2013-072D,39465,,2,24,2015-12-06,8,2012-09-13,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 5B,Technology Development,2013-12-06,Atlas 5,Vandenberg AFB,2013-072E,39466,,2,24,2015-12-06,8,2012-09-13,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 6A,Technology Development,2014-06-19,Dnepr,Dombarovsky Air Base,2014-033AM,40045,,3,36,2017-06-19,8,2012-09-13,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 6B,Technology Development,2014-06-19,Dnepr,Dombarovsky Air Base,2014-033AN,40046,,3,36,2017-06-19,8,2012-09-13,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 8A,Technology Development,2015-05-20,Atlas 5,Cape Canaveral,2015-025J,40659,,,,,8,2012-09-13,2015-09-09
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube 8B,Technology Development,2015-05-20,Atlas 5,Cape Canaveral,2015-025K,40660,,,,,8,2012-09-13,2015-09-09
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 18 (USA 130) (Defense Support Program),Earth Observation,1997-02-23,Titan IVB,Cape Canaveral,1997-008A,24737,,5,60,2002-02-23,4,1997-02-23,2015-09-09
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 20 (USA 149) (Defense Support Program),Earth Observation,2000-05-18,Titan IVB,Cape Canaveral,2000-024A,26356,,,,,4,1997-02-23,2015-09-09
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 21 (USA 159) (Defense Support Program),Earth Observation,2001-08-06,Titan 4B,Cape Canaveral,2001-033A,26880,,,,,4,1997-02-23,2015-09-09
Air Force,Military,Northrup Grumman (formerly TRW),DSP 22 (USA 176) (Defense Support Program),Earth Observation,2004-02-14,Titan 4B,Cape Canaveral,2004-004A,28158,,,,,4,1997-02-23,2015-09-09
Air Force Research Laboratory (AFRL),Military,Orbital Sciences Corp.,"Angels (Automated Navigation and Guidance Experiment for Local Space, USA 255)",Technology Development,2014-07-28,Delta 4M,Cape Canaveral,2014-043C,40101,,1,12,2015-07-28,1,2014-07-28,2015-09-09
Air Force Satellite Control Network,Military,Orbital Sciences Corp.,"GSSAP 1 (Geosynchronous Space Situational Awareness Program, USA 253)",Space Observation,2014-07-28,Delta 4M,Cape Canaveral,2014-043A,40099,,,,,2,2014-07-28,2015-09-09
