Entity_Name,Entity_Type,Contractor,SATNAME,Purpose,Date_of_First_Launch,Launch_vehicle,Launch_site,COSPAR_number,NORAD_number,Class_of_Orbit,Expected_Lifetime_years,Expected_Lifetime_months,Expected_Deorbit_Date,Sat_Count_entity,Entity_First_Launch,UCS_entry_year
Goddard Space Flight Center (NASA),Government,"Engineering Director, Goddard Space Flight Center","X-Ray Timing Explorer (Rossi X-Ray Timing Explorer, RXTE)",Astrophysics,1995-12-30,Delta 2,Cape Canaveral,1995-074A,23757,LEO/I,5,60,2000-12-30,2,1995-12-30,2006-03-17
Goddard Space Flight Center/EOS Data and Operations System,Government,TRW,EOS-CHEM Aura,Remote Sensing,2004-07-15,Delta 2,Vandenberg AFB,2004-026A,28376,"LEO, Sun-sync.",,,,1,2004-07-15,2006-03-17
Goddard Space Flight Center/Penn State University,Government/Civil,Spectrum Astro (General Dynamics),Swift,Astrophysics,2004-11-20,Delta 7320,Cape Canaveral,2004-047A,28485,LEO/I,7,84,2011-11-20,1,2004-11-20,2006-03-17
Hellas-Sat Consortium Ltd.,Commercial,Astrium,"HellasSat 2 (Intelsat K-TV, NSS K-TV)",Communications,2003-05-12,Atlas 5,Cape Canaveral,2003-020A,27811,"GEO, 38.98° E",15,180,2018-05-12,1,2003-05-12,2006-03-17
Hisdesat/Ministry of Defense,Military,Space Systems Loral,Spainsat,Communications,2006-03-11,Ariane 5,Guiana Space Center,2006-007B,28946,"GEO, 30° W",,,,1,2006-03-11,2006-03-17
Hispamar (subsidiary of Hispasat - Spain),Commercial,EADS Astrium,Amazonas,Communications,2004-08-04,Proton M,Baikonur Cosmodrome,2004-031A,28393,"GEO, 61° W",15,180,2019-08-04,1,2004-08-04,2006-03-17
Hispasat,Comm/Gov/Mil.,Matra Marconi Space,Hispasat 1B,Communications,1993-07-22,Ariane 44L,Guiana Space Center,1993-048A,22724,"GEO, 30.01° W",10,120,2003-07-22,3,1993-07-22,2006-03-17
Hispasat,Comm/Gov/Mil.,Alcatel Space Industries,Hispasat 1C,Communications,2000-02-04,Atlas 2AS,Cape Canaveral,2000-007A,26071,"GEO, 29.95° W",15,180,2015-02-04,3,1993-07-22,2006-03-17
Hispasat,Comm/Gov/Mil.,Aerospatiale (Alcatel Space Industries),Hispasat 1D,Communications,2002-09-18,Atlas 2AS,Cape Canaveral,2002-044A,27528,"GEO, 29.98° W",15,180,2017-09-18,3,1993-07-22,2006-03-17
ICO Global Communications Ltd.,Commercial,Hughes Space and Communications,ICO-2,Communications,2001-06-19,Atlas 2AS,Cape Canaveral,2001-026A,26857,MEO,12,144,2013-06-19,1,2001-06-19,2006-03-17
"ImageSat International, NV/Ministry of Defense",Military/Commercial,Israel Aircraft Industries (IAI),EROS A1 (Earth Resources Observation Satellite),Remote Sensing,2000-12-05,Start-1,Svobodni Cosmodrome,2000-079A,26631,"LEO, Sun-sync.",6,72,2006-12-05,1,2000-12-05,2006-03-17
Indian Space Reseaerch Organization (ISRO),Government,Indian Space Research Organization (ISRO),GSAT-2,Communications/Technology Development,2003-05-08,GSLV-D2,Satish Dhawan Space Center,2003-018A,27807,"GEO, 47.95° E",,,,1,2003-05-08,2006-03-17
Indian Space Research Organization,Government,ISRO Satellite Center,INSAT 3A (Indian National Satellite),Communications/Earth Science,2003-04-09,Ariane 5,Guiana Space Center,2003-013A,27714,"GEO, 93.50° E",12,144,2015-04-09,6,2000-03-21,2006-03-17
Indian Space Research Organization,Government,ISRO Satellite Center,INSAT 3B (Indian National Satellite),Communications,2000-03-21,Ariane 5,Guiana Space Center,2000-016B,26108,"GEO, 82.98° E",14,168,2014-03-21,6,2000-03-21,2006-03-17
Indian Space Research Organization,Government,ISRO Satellite Center,INSAT 3C (Indian National Satellite),Communications,2002-01-23,Ariane 4,Guiana Space Center,2002-002A,27298,"GEO, 73.97° E",12,144,2014-01-23,6,2000-03-21,2006-03-17
Indian Space Research Organization,Government,ISRO Satellite Center,INSAT 3E (Indian National Satellite),Communications/Earth Science,2003-09-27,Ariane 5,Guiana Space Center,2003-043E,27951,"GEO, 55.06° E",12,144,2015-09-27,6,2000-03-21,2006-03-17
Indian Space Research Organization,Government,ISRO Satellite Center,INSAT-4A (Indian National Satellite),Communications,2005-12-21,Ariane 5G,Guiana Space Center,2005-049A,28911,"GEO, 83° E",12,144,2017-12-21,6,2000-03-21,2006-03-17
Indian Space Research Organization,Government/Military,ISRO Satellite Center,TES (Technology Experiment Satellite),Remote Sensing/Photo Reconnaissance,2001-10-22,PSLV-C3,Sriharikota Launch Station,2001-049A,26957,"LEO, Sun-sync.",3,36,2004-10-22,6,2000-03-21,2006-03-17
Indian Space Research Organization (ISRO),Government,Indian Space Research Organization (ISRO),CartoSat 1 (IRS P5),Remote Sensing,2005-05-05,PSLV-C6,Satish Dhawan Space Centre,2005-017A,28649,"LEO, Sun-sync.",6,72,2011-05-05,8,1995-12-28,2006-03-17
Indian Space Research Organization (ISRO),Civil,Indian Space Research Organization (ISRO),HAMSat (VUSat Oscar 52),Communications,2005-05-05,PSLV-C6,Satish Dhawan Space Center,2005-017B,28650,"LEO, Sun-sync.",,,,8,1995-12-28,2006-03-17
Indian Space Research Organization (ISRO),Government,India Space Research Organization,IRS-1C (Indian Remote Sensing Satellite 1C),Earth Observation,1995-12-28,Molniya-M,Baikonur Cosmodrome,1995-072A,23751,"LEO, Sun-sync.",3,36,1998-12-28,8,1995-12-28,2006-03-17
Indian Space Research Organization (ISRO),Government,India Space Research Organization,IRS-1D (Indian Remote Sensing Satellite 1D),Earth Observation,1997-09-29,PSLV-D3,Sriharikota Launch Station,1997-057A,24971,"LEO, Sun-sync.",3,36,2000-09-29,8,1995-12-28,2006-03-17
Indian Space Research Organization (ISRO),Government,India Space Research Organization,IRS-P3 (Indian Remote Sensing Satellite P3),Earth Observation,1996-03-21,Polar Satellite Launch Vehicle 1C,Sriharikota Launch Station,1996-017A,23827,"LEO, Sun-sync.",3,36,1999-03-21,8,1995-12-28,2006-03-17
Indian Space Research Organization (ISRO),Government,ISRO Satellite Center,IRS-P6 (Resourcesat-1),Remote sensing,2003-10-17,PSLV-C5,Sriharikota Launch Station,2003-046A,28051,"LEO, Sun-sync.",5,60,2008-10-17,8,1995-12-28,2006-03-17
Indian Space Research Organization (ISRO),Government,ISRO Satellite Center,Kalpana-1 (Metsat-1),Earth Science,2002-09-12,Polar Satellite Launch Vehicle (PSLV),Satish Dhawan Space Center,2002-043A,27525,"GEO, 73.94° E",,,,8,1995-12-28,2006-03-17
Indian Space Research Organization (ISRO),Government,Indian Space Research Organization (ISRO),Oceansat-1 (IRS P4),Remote Sensing,1999-05-26,PSLV-C2,Satish Dhawan Space Center,1999-029A,25756,"LEO, Sun-sync.",5,60,2004-05-26,8,1995-12-28,2006-03-17
"INMARSAT, Ltd.",Commercial,Matra Marconi Space,INMARSAT 2 F1 (Inter. Maritime Sat-2 F1),Communications,1990-10-30,Delta,Cape Canaveral,1990-093A,20918,"GEO, 143.47° E",10,120,2000-10-30,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Matra Marconi Space,INMARSAT 2 F2,Communications,1991-03-08,Delta,Cape Canaveral,1991-018A,21149,"GEO, 98.04° W",10,120,2001-03-08,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Matra Marconi Space,INMARSAT 2 F3,Communications,1991-12-16,Ariane 44L,Guiana Space Center,1991-084B,21814,"GEO, 142.07° W",10,120,2001-12-16,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Matra Marconi Space,INMARSAT 2 F4,Communications,1992-04-15,Ariane 44L,Guiana Space Center,1992-021B,21940,"GEO, 109.00° W",10,120,2002-04-15,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,INMARSAT 3 F1,Communications,1996-04-03,Atlas 2A,Cape Canaveral,1996-020A,23839,"GEO, 63.88° E",13,156,2009-04-03,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,INMARSAT 3 F2,Communications,1996-09-06,Proton,Baikonur Cosmodrome,1996-053A,24307,"GEO, 15.48° W",13,156,2009-09-06,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,INMARSAT 3 F3,Communications,1996-12-18,Atlas,Cape Canaveral,1996-070A,24674,"GEO, 178.12° E",13,156,2009-12-18,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,INMARSAT 3 F4,Communications,1997-06-03,Ariane 44L,Guiana Space Center,1997-027A,24819,"GEO, 53.97° W",13,156,2010-06-03,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,INMARSAT 3 F5,Communications,1998-02-04,Ariane 44L,Guiana Space Center,1998-006B,25153,"GEO, 24.97° E",13,156,2011-02-04,11,1990-10-30,2006-03-17
