Entity_Name,Entity_Type,Contractor,SATNAME,Purpose,Date_of_First_Launch,Launch_vehicle,Launch_site,COSPAR_number,NORAD_number,Class_of_Orbit,Expected_Lifetime_years,Expected_Lifetime_months,Expected_Deorbit_Date,Sat_Count_entity,Entity_First_Launch,UCS_entry_year
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 20 (USA 149) (Defense Support Program),Early Warning,2000-05-18,Titan IVB,Cape Canaveral,2000-024A,26356,"GEO, 7.67° E",,,,7,1991-11-24,2008-10-06
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 21 (USA 159) (Defense Support Program),Early Warning,2001-08-06,Titan 4B,Cape Canaveral,2001-033A,26880,GEO,,,,7,1991-11-24,2008-10-06
Air Force,Military,Northrup Grumman (formerly TRW),DSP 22 (USA 176) (Defense Support Program),Early Warning,2004-02-14,Titan 4B,Cape Canaveral,2004-004A,28158,"GEO, 96.66° W",,,,7,1991-11-24,2008-10-06
Air Force,Military,Northrup Grumman (formerly TRW),DSP 23 (USA 197) (Defense Support Program),Early Warning,2007-11-11,Delta 4,Cape Canaveral,2007-054A,32287,"GEO, 8.74° E",,,,7,1991-11-24,2008-10-06
Air Force,Military,TRW and Aerojet Electronics Systems,"DSP F16 (DSP 16, USA 72) (Defense Support Program)",Early Warning,1991-11-24,Shuttle (STS 44),Cape Canaveral,1991-080B,21805,"GEO, 40.28° W",,,,7,1991-11-24,2008-10-06
Air Force,Military,TRW and Aerojet Electronics Systems,"DSP F17 (DSP 17, USA 107) (Defense Support Program)",Early Warning,1994-12-22,Titan IVA,Cape Canaveral,1994-084A,23435,"GEO, 146.15° W",,,,7,1991-11-24,2008-10-06
Air Force,Military,TRW and Aerojet Electronics Systems,DSP F18 (USA 130) (Defense Support Program),Early Warning,1997-02-23,Titan IVB,Cape Canaveral,1997-008A,24737,GEO,,,,7,1991-11-24,2008-10-06
AMSAT Argentina,Civil,University of Comahue/Argentine Asociation for Space Technology/AMSAT Argentina,"PehuenSat 1 (Oscar 63, PO-63)",Communications,2007-01-10,PSLV-C7,Satish Dhawan Space Center,2007-001D,29712,"LEO, Sun-sync.",,,,1,2007-01-10,2008-10-06
Amsat-NA,Civil,Amsat-NA/SpaceQuest,"Amsat-Echo (Oscar 51, AO-51)",Amateur Radio,2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025K,28375,"LEO, Sun-sync.",,,,2,1974-11-15,2008-10-06
Amsat-NA,Civil,Amsat-NA,Amsat-Oscar 7 (AO-7),Amateur Radio,1974-11-15,Delta 2310,Vandenberg AFB,1974-089B,7530,"LEO, Sun-sync.",,,,2,1974-11-15,2008-10-06
Aprize Satellites Argentina,Commercial,SpaceQuest,LatinSat A,Communications,2002-12-20,Dnepr LV,Baikonur Cosmodrome,2002-058H,27612,LEO/I,,,,4,2002-12-20,2008-10-06
Aprize Satellites Argentina,Commercial,SpaceQuest,LatinSat B,Communications,2002-12-20,Dnepr LV,Baikonur Cosmodrome,2002-058B,27606,LEO/I,,,,4,2002-12-20,2008-10-06
Aprize Satellites Argentina,Commercial,Aprize Satellite,LatinSat-C,Communications (experimental),2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025G,28372,"LEO, Sun-sync.",,,,4,2002-12-20,2008-10-06
Aprize Satellites Argentina,Commercial,Aprize Satellite,LatinSat-D,Communications (experimental),2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025A,28366,"LEO, Sun-sync.",,,,4,2002-12-20,2008-10-06
APT Satellite Holdings Ltd.,Commercial,Hughes Space and Communications Group,Apstar 1,Communications,1994-07-21,Long March,Xichang Satellite Launch Center,1994-043A,23185,"GEO, 134° E",9,108,2003-07-21,3,1994-07-21,2008-10-06
APT Satellite Holdings Ltd.,Commercial,Boeing Satellite Systems,Apstar 1A (Apstar 3),Communications,1996-07-03,Long March CZ-3,Xichang Satellite Launch Center,1996-039A,23943,"GEO, 134.05° E",12,144,2008-07-03,3,1994-07-21,2008-10-06
APT Satellite Holdings Ltd.,Commercial,Alcatel Space Industries,Apstar 6,Communications,2005-04-12,Long March 3B,Xichang Satellite Launch Center,2005-012A,28638,"GEO, 134° E",,,,3,1994-07-21,2008-10-06
Arab Satellite Communications Org. (ASCO),Government,Alcatel Space Industries,Arabsat 2B (Arabsat IIB),Communications,1996-11-13,Ariane 44L,Guiana Space Center,1996-063A,24652,"GEO, 30.48° E",14,168,2010-11-13,4,1996-11-13,2008-10-06
Arab Satellite Communications Org. (ASCO),Government,Aerospatiale Matra SA,Badr 3 (Arabsat 3A),Communications,1999-02-26,Ariane 44L,Guiana Space Center,1999-009A,25638,"GEO, 25.93° E",15,180,2014-02-26,4,1996-11-13,2008-10-06
Arab Satellite Communications Org. (ASCO),Government,EADS Astrium,Badr 4 (Arabsat 4B),Communications,2006-11-08,Proton-M,Baikonur Cosmodrome,2006-051A,29526,"GEO, 30° E",15,180,2021-11-08,4,1996-11-13,2008-10-06
Arab Satellite Communications Org. (ASCO),Government,EADS Astrium,Badr 6 (Arabsat 4AR),Communications,2008-07-07,Ariane 5 ECA,Guiana Space Center,2008-034B,33154,"GEO, 26° E",15,180,2023-07-07,4,1996-11-13,2008-10-06
Asia Cellular Satellite,Commercial,Lockheed Martin Missiles and Space,Garuda-1 (Aces 1),Communications,2000-02-12,Proton,Baikonur Cosmodrome,2000-011A,26089,"GEO, 107.63° E",12,144,2012-02-12,1,2000-02-12,2008-10-06
Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Lockheed Martin Astro Space,AsiaSat 2,Communications,1995-11-28,Long March CZ-2E,Xichang Satellite Launch Center,1995-064A,23723,"GEO, 100.52° E",13,156,2008-11-28,3,1995-11-28,2008-10-06
Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Boeing Satellite Systems,AsiaSat 3S (Asiasat 3SA),Communications,1999-03-21,Proton-K,Baikonur Cosmodrome,1999-013A,25657,"GEO, 105.51° E",15,180,2014-03-21,3,1995-11-28,2008-10-06
Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Boeing Satellite Systems,AsiaSat 4,Communications,2003-04-12,Atlas 3B,Cape Canaveral,2003-014A,27718,"GEO, 121.99° E",15,180,2018-04-12,3,1995-11-28,2008-10-06
Astronomical Institute of Czech Academy of Sciences,Civil,Space Devies,MIMOSA (MIcroMeasurements Of Satellite Accelerations),Research,2003-06-30,Rokot,Plesetsk Cosmodrome,2003-031B,27841,"LEO, Sun-sync.",4.5,54,2007-12-30,1,2003-06-30,2008-10-06
Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Tsinghua University/University of Surrey,"BeijinGalaxy-1 (Tsinghau-2, China DMC+4)",Earth Observation,2005-10-27,Cosmos 3M,Plesetsk Cosmodrome,2005-043A,28890,"LEO, Sun-sync.",7,84,2012-10-27,1,2005-10-27,2008-10-06
Bigelow Aerospace,Commercial,Bigelow Aerospace,Genesis-1,Technology Development,2006-07-12,Dnepr,Dombarovsky Missile Base,2006-029A,29252,LEO,5,60,2011-07-12,2,2006-07-12,2008-10-06
Bigelow Aerospace,Commercial,Bigelow Aerospace,Genesis-2,Technology Development,2007-06-28,Dnepr,Yasny Cosmodrome,2007-028A,31789,LEO,5,60,2012-06-28,2,2006-07-12,2008-10-06
Bilten Satellite Technologies Group,Government/Civil,Bilten Satellite Technologies Group,Bilsat-1,Earth Observation,2003-09-27,Kosmos 3M,Plesetsk Cosmodrome,2003-042E,27945,"LEO, Sun-sync.",,,,1,2003-09-27,2008-10-06
Boeing Satellite Systems,Commercial,Boeing Satellite Systems,CSTB-1 (CubeSatTestBed-1),Technology Development,2007-04-17,Dnepr,Baikonur Cosmodrome,2007-012R,31133,LEO,,,,1,2007-04-17,2008-10-06
Broadcasting Satellite System Corp.,Commercial,Boeing Satellite Systems,BSAT-1A,Communications,1997-04-16,Ariane 44LP,Guiana Space Center,1997-016B,24769,"GEO, 109.61° E",10,120,2007-04-16,5,1997-04-16,2008-10-06
Broadcasting Satellite System Corp.,Commercial,Boeing Satellite Systems,BSAT-1B,Communications,1998-04-28,Ariane 44P,Guiana Space Center,1998-024B,25312,"GEO, 109.77° E",10,120,2008-04-28,5,1997-04-16,2008-10-06
Broadcasting Satellite System Corp.,Commercial,Orbital Sciences Corp.,BSAT-2A,Communications,2001-03-08,Ariane 5G,Guiana Space Center,2001-011B,26720,"GEO, 109.89° E",10,120,2011-03-08,5,1997-04-16,2008-10-06
Broadcasting Satellite System Corp.,Commercial,Orbital Sciences Corp.,BSAT-2C,Communications,2003-06-11,Ariane 5G,Guiana Space Center,2003-028A,27830,"GEO, 109.80° E",10,120,2013-06-11,5,1997-04-16,2008-10-06
Broadcasting Satellite System Corp.,Commercial,Lockheed Martin Commercial Space Systems,BSAT-3A,Communications,2007-08-14,Ariane 5-ECA,Guiana Space Center,2007-036B,32019,"GEO, 110° E",13,156,2020-08-14,5,1997-04-16,2008-10-06
Cabinet Satellite Intelligence Center (CSIC),Government,Mitsubishi,IGS-1A (Information Gathering Satellite 1A),Reconnaissance,2003-03-28,H2A,Tanegashima Space Center,2003-009A,27698,"LEO, Sun-sync.",5,60,2008-03-28,4,2003-03-28,2008-10-06
Cabinet Satellite Intelligence Center (CSIC),Government,Mitsubishi,IGS-3A (Information Gathering Satellite 3A),Reconnaissance,2006-09-11,H2A,Tanegashima Space Center,2006-037A,29393,"LEO, Sun-sync.",5,60,2011-09-11,4,2003-03-28,2008-10-06
Cabinet Satellite Intelligence Center (CSIC),Government,Mitsubishi,"IGS-3B (Information Gathering Satellite 3B, IGS Radar 2)",Reconnaissance,2007-02-24,H2A,Tanegashima Space Center,2007-005A,30586,"LEO, Sun-sync.",5,60,2012-02-24,4,2003-03-28,2008-10-06
Cabinet Satellite Intelligence Center (CSIC),Government,Mitsubishi,"IGS-4A (Information Gathering Satellite 4A, Optical Verification Satellite [OV-3])",Reconnaissance,2007-02-24,H2A,Tanegashima Space Center,2007-005B,30587,"LEO, Sun-sync.",0.5,6,2007-08-24,4,2003-03-28,2008-10-06
California Institute of Technology/NASA,Government/Civil,Orbital Sciences Corp.,GALEX (Galaxy Evolution Explorer),Space Science,2003-04-28,Pegasus,Cape Canaveral,2003-017A,27783,LEO/I,2.3,28,2005-08-28,1,2003-04-28,2008-10-06
California Polytechnic State University,Civil,California Polytechnic State University,"CP-4 (CalPoly 4, Polysat 4 [CP-2])",Technology Development,2007-04-17,Dnepr,Baikonur Cosmodrome,2007-012Q,31132,LEO,1,12,2008-04-17,1,2007-04-17,2008-10-06
Canadian Space Agency,Civil,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,MOST (Microvariability & Oscillations of STars),Astrophysics,2003-06-30,Rokot,Plesetsk Cosmodrome,2003-031D,27843,"LEO, Sun-sync.",1,12,2004-06-30,2,2003-06-30,2008-10-06
Canadian Space Agency,Government,Bristol Aerospace Ltd.,Scisat-1 (Atmospheric Chemistry Experiment),Space Science,2003-08-12,Pegasus XL,Vandenberg AFB,2003-036A,27858,LEO/I,,,,2,2003-06-30,2008-10-06
"Center for Atmospheric Sciences, Hampton University/NASA",Government,Orbital Sciences Corp.,AIM (Aeronomy of Ice in Mesosphere),Earth Science,2007-04-25,Pegasus XL,Vandenberg AFB,2007-015A,31304,LEO,2,24,2009-04-25,1,2007-04-25,2008-10-06
Centre Electronique de l'Armement (DGA),Military,Alcatel Space Industries,Clementine,Electronic surveillance,1999-12-03,Ariane 5,Guiana Space Center,1999-064B,25978,"LEO, Syn-sync.",,,,1,1999-12-03,2008-10-06
