Entity_Name,Entity_Type,Contractor,SATNAME,Purpose,Date_of_First_Launch,Launch_vehicle,Launch_site,COSPAR_number,NORAD_number,Class_of_Orbit,Expected_Lifetime_years,Expected_Lifetime_months,Expected_Deorbit_Date,Sat_Count_entity,Entity_First_Launch,UCS_entry_year
Aerospace Corporation,Commercial,Aerospace Corporation,Aerocube-3,Technology Development,2009-05-19,Minotaur-1,Wallops Island Flight Facility,2009-028E,35005,,,,,1,2009-05-19,2010-04-01
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 18 (USA 130) (Defense Support Program),Early Warning,1997-02-23,Titan IVB,Cape Canaveral,1997-008A,24737,,5,60,2002-02-23,4,1997-02-23,2010-04-01
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 20 (USA 149) (Defense Support Program),Early Warning,2000-05-18,Titan IVB,Cape Canaveral,2000-024A,26356,,,,,4,1997-02-23,2010-04-01
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 21 (USA 159) (Defense Support Program),Early Warning,2001-08-06,Titan 4B,Cape Canaveral,2001-033A,26880,,,,,4,1997-02-23,2010-04-01
Air Force,Military,Northrup Grumman (formerly TRW),DSP 22 (USA 176) (Defense Support Program),Early Warning,2004-02-14,Titan 4B,Cape Canaveral,2004-004A,28158,,,,,4,1997-02-23,2010-04-01
Air Force Research Laboratory,Military,Air Force Research Laboratory/Raytheon,Tacsat 3,Reconnaissance,2009-05-19,Minotaur 1,Wallops Island Flight Facility,2009-028A,35001,,1,12,2010-05-19,1,2009-05-19,2010-04-01
"Ames Research Center, NASA",Government,"NASA, Ames Research Center",Pharmasat,Space Science,2009-05-19,Minotaur 1,Wallops Island Flight Facility,2009-028B,35002,,0.5,6,2009-11-19,1,2009-05-19,2010-04-01
Amsat-NA,Civil,Amsat-NA/SpaceQuest,"Amsat-Echo (Oscar 51, AO-51)",Amateur Radio,2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025K,28375,Sun-Synchronous,,,,2,1974-11-15,2010-04-01
Amsat-NA,Civil,Amsat-NA,Amsat-Oscar 7 (AO-7),Amateur Radio,1974-11-15,Delta 2310,Vandenberg AFB,1974-089B,7530,Sun-Synchronous,,,,2,1974-11-15,2010-04-01
Anna University,Civil/Government,Anna University/IRSO,Anusat (Anna University Satellite),Communications,2009-04-20,PSLV-C12,Satish Dhawan Space Center,2009-019B,34808,,2,24,2011-04-20,1,2009-04-20,2010-04-01
Aprize Satellite/Latin Trade Satellite,Commercial,SpaceQuest,AprizeSat 3,Communications,2009-07-29,Dnepr,Baikonur Cosmodrome,2009-041F,35686,Sun-Synchronous,,,,2,2009-07-29,2010-04-01
Aprize Satellite/Latin Trade Satellite,Commercial,SpaceQuest,AprizeSat 4,Communications,2009-07-29,Dnepr,Baikonur Cosmodrome,2009-041D,35684,Sun-Synchronous,,,,2,2009-07-29,2010-04-01
Aprize Satellites Argentina,Commercial,SpaceQuest,LatinSat A,Communications,2002-12-20,Dnepr LV,Baikonur Cosmodrome,2002-058H,27612,Intermediate,,,,4,2002-12-20,2010-04-01
Aprize Satellites Argentina,Commercial,SpaceQuest,LatinSat B,Communications,2002-12-20,Dnepr LV,Baikonur Cosmodrome,2002-058B,27606,Intermediate,,,,4,2002-12-20,2010-04-01
Aprize Satellites Argentina,Commercial,Aprize Satellite,LatinSat-C (AprizeSat 1),Communications (experimental),2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025G,28372,Sun-Synchronous,,,,4,2002-12-20,2010-04-01
Aprize Satellites Argentina,Commercial,Aprize Satellite,LatinSat-D (AprizeSat 2),Communications (experimental),2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025A,28366,Sun-Synchronous,,,,4,2002-12-20,2010-04-01
APT Satellite Holdings Ltd.,Commercial,Alcatel Space Industries,Apstar 6,Communications,2005-04-12,Long March 3B,Xichang Satellite Launch Center,2005-012A,28638,,,,,1,2005-04-12,2010-04-01
Arab Satellite Communications Org. (ASCO),Government,Alcatel Space Industries,Arabsat 2B (Arabsat IIB),Communications,1996-11-13,Ariane 44L,Guiana Space Center,1996-063A,24652,,14,168,2010-11-13,4,1996-11-13,2010-04-01
Arab Satellite Communications Org. (ASCO),Government,Aerospatiale Matra SA,Badr 3 (Arabsat 3A),Communications,1999-02-26,Ariane 44L,Guiana Space Center,1999-009A,25638,,15,180,2014-02-26,4,1996-11-13,2010-04-01
Arab Satellite Communications Org. (ASCO),Government,EADS Astrium,Badr 4 (Arabsat 4B),Communications,2006-11-08,Proton-M,Baikonur Cosmodrome,2006-051A,29526,,15,180,2021-11-08,4,1996-11-13,2010-04-01
Arab Satellite Communications Org. (ASCO),Government,EADS Astrium,Badr 6 (Arabsat 4AR),Communications,2008-07-07,Ariane 5 ECA,Guiana Space Center,2008-034B,33154,,15,180,2023-07-07,4,1996-11-13,2010-04-01
Armed Forces,Military,Thales Alenia Space,COMSATBw-1,Communications,2009-10-01,Ariane-5,Guiana Space Center,2009-054B,35943,,15,180,2024-10-01,1,2009-10-01,2010-04-01
Asia Cellular Satellite,Commercial,Lockheed Martin Missiles and Space,Garuda-1 (Aces 1),Communications,2000-02-12,Proton,Baikonur Cosmodrome,2000-011A,26089,,12,144,2012-02-12,1,2000-02-12,2010-04-01
Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Boeing Satellite Systems,AsiaSat 3S (Asiasat 3SA),Communications,1999-03-21,Proton-K,Baikonur Cosmodrome,1999-013A,25657,,15,180,2014-03-21,3,1999-03-21,2010-04-01
Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Boeing Satellite Systems,AsiaSat 4,Communications,2003-04-12,Atlas 3B,Cape Canaveral,2003-014A,27718,,15,180,2018-04-12,3,1999-03-21,2010-04-01
Asia Satellite Telecommunications Co. Ltd. (SES [Societe Europienne des Satellites]),Commercial,Space Systems/Loral,AsiaSat 5,Communications,2009-08-11,Breeze M,Baikonur Cosmodrome,2009-042A,35696,,15,180,2024-08-11,3,1999-03-21,2010-04-01
Astronomical Institute of Czech Academy of Sciences,Civil,Space Devies,MIMOSA (MIcroMeasurements Of Satellite Accelerations),Research,2003-06-30,Rokot,Plesetsk Cosmodrome,2003-031B,27841,Sun-Synchronous,4.5,54,2007-12-30,1,2003-06-30,2010-04-01
Astrotech SOHLA,Civil,Space Oriented Higashiosaka Leading Association,"SOHLA 1 (Space Oriented Higashiosaka Leading Association, Maido 1)",Technology Development,2009-01-23,H-2A,Tanegashima Space Center,2009-002E,33496,Sun-Synchronous,,,,1,2009-01-23,2010-04-01
Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Tsinghua University/University of Surrey,"BeijinGalaxy-1 (Tsinghau-2, China DMC+4)",Earth Observation,2005-10-27,Cosmos 3M,Plesetsk Cosmodrome,2005-043A,28890,Sun-Synchronous,7,84,2012-10-27,1,2005-10-27,2010-04-01
Bigelow Aerospace,Commercial,Bigelow Aerospace,Genesis-1,Technology Development,2006-07-12,Dnepr,Dombarovsky Missile Base,2006-029A,29252,,5,60,2011-07-12,2,2006-07-12,2010-04-01
Bigelow Aerospace,Commercial,Bigelow Aerospace,Genesis-2,Technology Development,2007-06-28,Dnepr,Yasny Cosmodrome,2007-028A,31789,,5,60,2012-06-28,2,2006-07-12,2010-04-01
Broadcasting Satellite System Corp.,Commercial,Boeing Satellite Systems,BSAT-1A,Communications,1997-04-16,Ariane 44LP,Guiana Space Center,1997-016B,24769,,10,120,2007-04-16,4,1997-04-16,2010-04-01
Broadcasting Satellite System Corp.,Commercial,Orbital Sciences Corp.,BSAT-2A,Communications,2001-03-08,Ariane 5G,Guiana Space Center,2001-011B,26720,,10,120,2011-03-08,4,1997-04-16,2010-04-01
Broadcasting Satellite System Corp.,Commercial,Orbital Sciences Corp.,BSAT-2C,Communications,2003-06-11,Ariane 5G,Guiana Space Center,2003-028A,27830,,10,120,2013-06-11,4,1997-04-16,2010-04-01
Broadcasting Satellite System Corp.,Commercial,Lockheed Martin Commercial Space Systems,BSAT-3A,Communications,2007-08-14,Ariane 5-ECA,Guiana Space Center,2007-036B,32019,,13,156,2020-08-14,4,1997-04-16,2010-04-01
